"","Sample.ID","Site","Transect","Species","Average.Diameter.cm","LifeStage"
"147",585,"S4","T5","P. grandis",8.25,">5cm-14cm"
"148",586,"S4","T5","P. meandrina",0.821666666666667,"0-2cm"
"149",587,"S4","T5","P. tuahiniensis",8.49,">5cm-14cm"
"150",589,"S4","T5","P. meandrina",0.327666666666667,"0-2cm"
"151",591,"S4","T5","P. effusa",2.27266666666667,">2cm-5cm"
"152",592,"S4","T6","P. meandrina",2.06133333333333,">2cm-5cm"
"153",594,"S4","T5","P. effusa",1.333,"0-2cm"
"154",595,"S4","T6","P. effusa",2.62633333333333,">2cm-5cm"
"155",596,"S4","T6","P. meandrina",1.79833333333333,"0-2cm"
"156",597,"S4","T6","P. meandrina",2.42133333333333,">2cm-5cm"
"157",601,"S4","T6","P. grandis",13.5566666666667,">5cm-14cm"
"158",602,"S4","T6","P. meandrina",10.376,">5cm-14cm"
"159",603,"S4","T6","P. meandrina",6.51366666666667,">5cm-14cm"
"160",604,"S4","T6","P. meandrina",7.11333333333333,">5cm-14cm"
"161",605,"S4","T6","P. meandrina",17.3456666666667,">14cm"
"162",606,"S4","T6","P. meandrina",2.12933333333333,">2cm-5cm"
"163",607,"S4","T6","P. grandis",2.44166666666667,">2cm-5cm"
"164",609,"S4","T6","P. meandrina",6.59066666666667,">5cm-14cm"
"165",610,"S4","T6","P. meandrina",100,">14cm"
"166",611,"S4","T6","P. verrucosa",19.681,">14cm"
"167",616,"S4","T6","P. verrucosa",5.516,">5cm-14cm"
"168",618,"S4","T6","P. tuahiniensis",2.299,">2cm-5cm"
"169",620,"S3","T4","P. effusa",5.05033333333333,">5cm-14cm"
"170",620,"S3","T4","P. effusa",3.24166666666667,">2cm-5cm"
"171",620,"S4","T3","P. effusa",5.05033333333333,">5cm-14cm"
"172",620,"S4","T3","P. effusa",3.24166666666667,">2cm-5cm"
"173",620,"S3","T4","P. meandrina",5.05033333333333,">5cm-14cm"
"174",620,"S3","T4","P. meandrina",3.24166666666667,">2cm-5cm"
"175",620,"S4","T3","P. meandrina",5.05033333333333,">5cm-14cm"
"176",620,"S4","T3","P. meandrina",3.24166666666667,">2cm-5cm"
"177",621,"S3","T4","P. tuahiniensis",13.432,">5cm-14cm"
"178",622,"S3","T4","P. verrucosa",18.741,">14cm"
"179",624,"S3","T4","P. effusa",1.96,"0-2cm"
"180",627,"S4","T5","P. acuta",1.62066666666667,"0-2cm"
"181",628,"S4","T5","P. acuta",0.948333333333333,"0-2cm"
"182",629,"S4","T5","P. tuahiniensis",3.339,">2cm-5cm"
"183",630,"S4","T5","P. tuahiniensis",100,">14cm"
"184",631,"S4","T5","P. verrucosa",100,">14cm"
"185",632,"S4","T5","P. meandrina",12.0993333333333,">5cm-14cm"
"186",633,"S4","T5","P. acuta",0.884,"0-2cm"
"187",634,"S4","T5","P. grandis",4.13566666666667,">2cm-5cm"
"188",635,"S4","T5","P. tuahiniensis",100,">14cm"
"189",636,"S4","T5","P. meandrina",4.64933333333333,">2cm-5cm"
"190",637,"S4","T5","P. grandis",8.27333333333333,">5cm-14cm"
"191",638,"S4","T5","P. tuahiniensis",4.06466666666667,">2cm-5cm"
"192",639,"S4","T5","P. verrucosa",100,">14cm"
"193",640,"S4","T5","P. grandis",15.4446666666667,">14cm"
"194",641,"S4","T5","P. grandis",2.028,">2cm-5cm"
"195",642,"S4","T5","P. meandrina",1.786,"0-2cm"
"196",643,"S4","T5","P. tuahiniensis",6.444,">5cm-14cm"
"197",644,"S4","T5","P. meandrina",3.08566666666667,">2cm-5cm"
"198",645,"S4","T5","P. grandis",12.8963333333333,">5cm-14cm"
"199",646,"S4","T5","P. tuahiniensis",1.64266666666667,"0-2cm"
"200",647,"S4","T5","P. tuahiniensis",13.0716666666667,">5cm-14cm"
"201",648,"S4","T5","P. tuahiniensis",11.1703333333333,">5cm-14cm"
"202",649,"S4","T5","P. meandrina",19.641,">14cm"
"203",650,"S4","T5","P. grandis",5.57,">5cm-14cm"
"204",652,"S4","T6","P. meandrina",9.10366666666667,">5cm-14cm"
"205",653,"S3","T1","P. meandrina",4.297,">2cm-5cm"
"206",658,"S3","T1","P. effusa",3.27166666666667,">2cm-5cm"
"207",659,"S3","T1","P. grandis",5.43533333333333,">5cm-14cm"
"208",662,"S3","T1","P. verrucosa",11.3186666666667,">5cm-14cm"
"209",663,"S3","T1","P. tuahiniensis",2.23466666666667,">2cm-5cm"
"210",664,"S3","T1","P. effusa",4.13366666666667,">2cm-5cm"
"211",665,"S3","T1","P. grandis",2.03666666666667,">2cm-5cm"
"212",666,"S3","T1","P. meandrina",1.61566666666667,"0-2cm"
"213",667,"S3","T1","P. grandis",0.906,"0-2cm"
"214",668,"S3","T1","P. meandrina",1.59466666666667,"0-2cm"
"215",669,"S3","T1","P. grandis",12.4043333333333,">5cm-14cm"
"216",670,"S3","T1","P. grandis",4.09866666666667,">2cm-5cm"
"217",671,"S3","T1","P. grandis",4.524,">2cm-5cm"
"218",672,"S3","T1","P. verrucosa",1.46566666666667,"0-2cm"
"219",676,"S3","T1","P. meandrina",8.43733333333333,">5cm-14cm"
"220",677,"S3","T1","P. acuta",1.119,"0-2cm"
"221",679,"S3","T1","P. acuta",3.848,">2cm-5cm"
"222",680,"S3","T1","P. meandrina",1.72,"0-2cm"
"223",683,"S3","T1","P. grandis",4.97633333333333,">2cm-5cm"
"224",684,"S3","T1","P. meandrina",4.07966666666667,">2cm-5cm"
"225",685,"S3","T1","P. meandrina",2.066,">2cm-5cm"
"226",686,"S3","T1","P. effusa",2.07966666666667,">2cm-5cm"
"227",688,"S3","T1","P. tuahiniensis",18.4053333333333,">14cm"
"228",689,"S3","T1","P. grandis",5.017,">5cm-14cm"
"229",690,"S3","T2","P. effusa",3.28133333333333,">2cm-5cm"
"230",691,"S3","T3","P. meandrina",5.63766666666667,">5cm-14cm"
"231",692,"S3","T3","P. meandrina",3.01566666666667,">2cm-5cm"
"232",693,"S3","T3","P. meandrina",1.99033333333333,"0-2cm"
"233",694,"S3","T3","P. grandis",100,">14cm"
"234",695,"S3","T3","P. meandrina",16.371,">14cm"
"235",696,"S3","T2","P. verrucosa",100,">14cm"
"236",697,"S3","T3","P. effusa",3.668,">2cm-5cm"
"237",699,"S3","T3","P. meandrina",10.794,">5cm-14cm"
"238",700,"S3","T2","P. effusa",2.71233333333333,">2cm-5cm"
"239",701,"S3","T2","P. acuta",3.455,">2cm-5cm"
"240",702,"S3","T1","P. meandrina",0.829666666666667,"0-2cm"
"241",703,"S3","T1","P. meandrina",12.853,">5cm-14cm"
"242",704,"S3","T3","P. meandrina",6.82866666666667,">5cm-14cm"
"243",705,"S3","T2","P. effusa",2.73366666666667,">2cm-5cm"
"244",706,"S3","T2","P. meandrina",2.08966666666667,">2cm-5cm"
"245",708,"S3","T2","P. meandrina",4.81833333333333,">2cm-5cm"
"246",709,"S3","T2","P. meandrina",2.28766666666667,">2cm-5cm"
"247",710,"S3","T3","P. tuahiniensis",100,">14cm"
"248",711,"S3","T3","P. meandrina",1.184,"0-2cm"
"249",712,"S3","T2","P. tuahiniensis",11.7646666666667,">5cm-14cm"
"250",713,"S3","T3","P. meandrina",2.01833333333333,">2cm-5cm"
"251",714,"S3","T3","P. meandrina",11.4323333333333,">5cm-14cm"
"252",715,"S3","T3","P. verrucosa",18.892,">14cm"
"253",716,"S3","T2","P. grandis",1.74,"0-2cm"
"254",717,"S3","T3","P. meandrina",2.20366666666667,">2cm-5cm"
"255",718,"S3","T3","P. acuta",1.29433333333333,"0-2cm"
"256",719,"S3","T3","P. effusa",2.783,">2cm-5cm"
"257",720,"S3","T3","P. meandrina",2.47833333333333,">2cm-5cm"
"258",721,"S3","T1","P. meandrina",1.66633333333333,"0-2cm"
"259",722,"S3","T1","P. meandrina",8.652,">5cm-14cm"
"260",723,"S3","T1","P. meandrina",1.60166666666667,"0-2cm"
"261",724,"S3","T1","P. verrucosa",17.053,">14cm"
"262",725,"S3","T1","P. meandrina",3.55666666666667,">2cm-5cm"
"263",726,"S3","T1","P. grandis",100,">14cm"
"264",727,"S3","T1","P. tuahiniensis",2.90466666666667,">2cm-5cm"
"265",728,"S3","T1","P. effusa",2.508,">2cm-5cm"
"266",729,"S3","T3","P. meandrina",4.95066666666667,">2cm-5cm"
"267",730,"S3","T3","P. meandrina",2.392,">2cm-5cm"
"268",731,"S3","T2","P. verrucosa",100,">14cm"
"269",732,"S3","T3","P. effusa",1.69933333333333,"0-2cm"
"270",733,"S3","T3","P. meandrina",3.87666666666667,">2cm-5cm"
"271",734,"S3","T2","P. effusa",5.29866666666667,">5cm-14cm"
"272",735,"S3","T2","P. effusa",3.207,">2cm-5cm"
"273",736,"S3","T2","P. effusa",5.36333333333333,">5cm-14cm"
"274",737,"S3","T2","P. meandrina",2.27233333333333,">2cm-5cm"
"275",738,"S3","T1","P. effusa",2.08066666666667,">2cm-5cm"
"276",739,"S3","T3","P. effusa",3.13266666666667,">2cm-5cm"
"277",740,"S5","T1","P. effusa",1.79266666666667,"0-2cm"
"278",741,"S5","T1","P. effusa",2.08,">2cm-5cm"
"279",742,"S5","T1","P. meandrina",3.542,">2cm-5cm"
"280",743,"S5","T1","P. effusa",2.217,">2cm-5cm"
"281",744,"S5","T1","P. meandrina",1.11266666666667,"0-2cm"
"282",745,"S5","T1","P. tuahiniensis",6.878,">5cm-14cm"
"283",746,"S5","T1","P. tuahiniensis",1.913,"0-2cm"
"284",747,"S5","T1","P. meandrina",9.72566666666667,">5cm-14cm"
"285",748,"S5","T1","P. meandrina",100,">14cm"
"286",749,"S5","T1","P. meandrina",6.609,">5cm-14cm"
"287",750,"S3","T3","P. meandrina",2.84533333333333,">2cm-5cm"
"288",751,"S5","T1","P. meandrina",2.144,">2cm-5cm"
"289",752,"S5","T1","P. effusa",1.27033333333333,"0-2cm"
"290",753,"S5","T1","P. meandrina",0.802,"0-2cm"
"291",754,"S5","T1","P. meandrina",1.53766666666667,"0-2cm"
"292",755,"S5","T1","P. meandrina",1.07966666666667,"0-2cm"
"293",756,"S5","T1","P. meandrina",10.5423333333333,">5cm-14cm"
"294",757,"S5","T1","P. grandis",6.49466666666667,">5cm-14cm"
"295",758,"S5","T1","P. meandrina",2.61566666666667,">2cm-5cm"
"296",759,"S5","T1","P. meandrina",11.7553333333333,">5cm-14cm"
"297",760,"S5","T1","P. meandrina",1,"0-2cm"
"298",760,"S5","T1","P. grandis",1,"0-2cm"
"299",762,"S5","T1","P. meandrina",3.465,">2cm-5cm"
"300",763,"S5","T1","P. tuahiniensis",1.182,"0-2cm"
"301",764,"S5","T1","P. effusa",1.31033333333333,"0-2cm"
"302",765,"S5","T1","P. acuta",1.08566666666667,"0-2cm"
"303",766,"S5","T1","P. effusa",1.92733333333333,"0-2cm"
"304",767,"S5","T1","P. effusa",1.41133333333333,"0-2cm"
"305",768,"S5","T1","P. tuahiniensis",9.15933333333333,">5cm-14cm"
"306",779,"S5","T1","P. meandrina",2.99933333333333,">2cm-5cm"
"307",781,"S5","T1","P. effusa",7.042,">5cm-14cm"
"308",781,"S5","T1","P. meandrina",7.042,">5cm-14cm"
"309",783,"S5","T1","P. meandrina",4.37733333333333,">2cm-5cm"
"310",784,"S5","T1","P. effusa",1.94266666666667,"0-2cm"
"311",785,"S5","T1","P. tuahiniensis",3.919,">2cm-5cm"
"312",786,"S5","T1","P. meandrina",0.811,"0-2cm"
"313",787,"S5","T1","P. tuahiniensis",100,">14cm"
"314",788,"S5","T1","P. meandrina",3.779,">2cm-5cm"
"315",789,"S5","T1","P. tuahiniensis",100,">14cm"
"316",790,"S5","T1","P. effusa",1.131,"0-2cm"
"317",791,"S5","T1","P. grandis",1.55933333333333,"0-2cm"
"318",792,"S5","T1","P. meandrina",4.617,">2cm-5cm"
"319",794,"S5","T1","P. effusa",3.012,">2cm-5cm"
"320",795,"S5","T1","P. grandis",3.09166666666667,">2cm-5cm"
"321",796,"S5","T1","P. acuta",1.104,"0-2cm"
"322",797,"S5","T1","P. meandrina",11.0713333333333,">5cm-14cm"
"323",799,"S3","T6","P. meandrina",1.55066666666667,"0-2cm"
"324",800,"S3","T6","P. tuahiniensis",150,">14cm"
"325",801,"S3","T6","P. acuta",1.29833333333333,"0-2cm"
"326",802,"S3","T6","P. meandrina",1.42533333333333,"0-2cm"
"327",804,"S5","T1","P. effusa",1.01666666666667,"0-2cm"
"328",805,"S5","T1","P. effusa",1.54233333333333,"0-2cm"
"329",806,"S5","T1","P. meandrina",8.51866666666667,">5cm-14cm"
"330",807,"S5","T1","P. meandrina",1.74833333333333,"0-2cm"
"331",808,"S5","T1","P. meandrina",2.288,">2cm-5cm"
"332",809,"S5","T1","P. tuahiniensis",1.64666666666667,"0-2cm"
"333",810,"S5","T1","P. effusa",3.722,">2cm-5cm"
"334",811,"S5","T1","P. meandrina",0.717666666666667,"0-2cm"
"335",812,"S5","T1","P. meandrina",1.16966666666667,"0-2cm"
"336",814,"S5","T1","P. meandrina",7.46566666666667,">5cm-14cm"
"337",815,"S5","T1","P. grandis",1.73333333333333,"0-2cm"
"338",816,"S5","T1","P. tuahiniensis",2.40433333333333,">2cm-5cm"
"339",818,"S5","T1","P. meandrina",12.237,">5cm-14cm"
"340",819,"S5","T1","P. meandrina",0.906333333333333,"0-2cm"
"341",820,"S5","T1","P. meandrina",1.27966666666667,"0-2cm"
"342",821,"S5","T1","P. grandis",3.019,">2cm-5cm"
"343",822,"S5","T1","P. meandrina",17.022,">14cm"
"344",823,"S5","T1","P. meandrina",3.33566666666667,">2cm-5cm"
"345",824,"S5","T1","P. effusa",2.109,">2cm-5cm"
"346",825,"S5","T1","P. grandis",15.3566666666667,">14cm"
"347",826,"S5","T1","P. verrucosa",7.193,">5cm-14cm"
"348",827,"S5","T1","P. meandrina",1.434,"0-2cm"
"349",828,"S5","T1","P. verrucosa",100,">14cm"
"350",829,"S5","T1","P. grandis",13.16,">5cm-14cm"
"351",830,"S5","T1","P. tuahiniensis",15.323,">14cm"
"352",831,"S5","T1","P. effusa",2.47166666666667,">2cm-5cm"
"353",832,"S3","T4","P. effusa",5.475,">5cm-14cm"
"354",833,"S5","T1","P. verrucosa",4.92566666666667,">2cm-5cm"
"355",834,"S5","T1","P. meandrina",2.29733333333333,">2cm-5cm"
"356",835,"S5","T1","P. grandis",2.10933333333333,">2cm-5cm"
"357",836,"S5","T1","P. meandrina",2.024,">2cm-5cm"
"358",837,"S3","T5","P. verrucosa",100,">14cm"
"359",838,"S5","T1","P. effusa",1.76566666666667,"0-2cm"
"360",839,"S3","T5","P. meandrina",12.562,">5cm-14cm"
"361",840,"S3","T5","P. meandrina",100,">14cm"
"362",841,"S3","T5","P. meandrina",15.279,">14cm"
"363",842,"S3","T5","P. meandrina",17.19,">14cm"
"364",843,"S3","T4","P. tuahiniensis",6.46833333333333,">5cm-14cm"
"365",844,"S3","T4","P. effusa",3.82733333333333,">2cm-5cm"
"366",845,"S3","T4","P. meandrina",2.674,">2cm-5cm"
"367",846,"S3","T4","P. verrucosa",4.393,">2cm-5cm"
"368",847,"S3","T4","P. grandis",23.847,">14cm"
"369",848,"S3","T4","P. meandrina",2.68166666666667,">2cm-5cm"
"370",849,"S3","T4","P. tuahiniensis",5.94133333333333,">5cm-14cm"
"371",849,"S3","T4","P. effusa",5.94133333333333,">5cm-14cm"
"372",850,"S3","T4","P. tuahiniensis",12.0643333333333,">5cm-14cm"
"373",851,"S3","T4","P. tuahiniensis",100,">14cm"
"374",852,"S3","T4","P. effusa",0.873333333333333,"0-2cm"
"375",853,"S3","T4","P. meandrina",1.90833333333333,"0-2cm"
"376",854,"S3","T4","P. grandis",15.579,">14cm"
"377",855,"S3","T4","P. grandis",1.549,"0-2cm"
"378",856,"S3","T4","P. effusa",2.86633333333333,">2cm-5cm"
"379",857,"S3","T4","P. effusa",2.776,">2cm-5cm"
"380",858,"S3","T4","P. acuta",1.275,"0-2cm"
"381",859,"S3","T4","P. tuahiniensis",1.48166666666667,"0-2cm"
"382",860,"S3","T4","P. meandrina",2.97966666666667,">2cm-5cm"
"383",861,"S3","T4","P. meandrina",17.8766666666667,">14cm"
"384",862,"S3","T4","P. effusa",3.09566666666667,">2cm-5cm"
"385",863,"S3","T4","P. meandrina",3.746,">2cm-5cm"
"386",864,"S3","T4","P. tuahiniensis",22.2796666666667,">14cm"
"387",865,"S3","T4","P. meandrina",16.6436666666667,">14cm"
"388",866,"S3","T4","P. meandrina",5.15766666666667,">5cm-14cm"
"389",867,"S3","T4","P. grandis",3.03233333333333,">2cm-5cm"
"390",868,"S3","T4","P. meandrina",5.27566666666667,">5cm-14cm"
"391",869,"S3","T3","P. meandrina",1.567,"0-2cm"
"392",870,"S5","T1","P. grandis",4.80333333333333,">2cm-5cm"
"393",871,"S5","T1","P. verrucosa",7.12066666666667,">5cm-14cm"
"394",872,"S5","T1","P. meandrina",6.24366666666667,">5cm-14cm"
"395",873,"S5","T1","P. meandrina",2.67933333333333,">2cm-5cm"
"396",874,"S5","T1","P. grandis",2.26466666666667,">2cm-5cm"
"397",875,"S5","T1","P. meandrina",3.34366666666667,">2cm-5cm"
"398",876,"S5","T1","P. meandrina",1.85433333333333,"0-2cm"
"399",877,"S5","T1","P. effusa",1.51233333333333,"0-2cm"
"400",877,"S5","T1","P. effusa",1.51233333333333,"0-2cm"
"401",877,"S5","T1","P. acuta",1.51233333333333,"0-2cm"
"402",877,"S5","T1","P. acuta",1.51233333333333,"0-2cm"
"403",878,"S5","T1","P. meandrina",4.19666666666667,">2cm-5cm"
"404",879,"S5","T1","P. tuahiniensis",1.90966666666667,"0-2cm"
"405",880,"S5","T1","P. acuta",1.39433333333333,"0-2cm"
"406",881,"S5","T1","P. meandrina",2.42566666666667,">2cm-5cm"
