Site ,Transect ,Meters,Yes or No,Double verification 
2,1,0,Yes,1
2,1,2,Yes,1
2,1,4,Yes,1
2,1,6,Yes,1
2,1,8,Yes,1
2,1,10,Yes,1
2,1,12,Yes,1
2,1,14,Yes,1
2,1,16,Yes,1
2,1,18,Yes,1
2,1,20,Yes,1
2,1,22,Yes,1
2,1,24,Yes,1
2,1,26,Yes,1
2,1,28,Yes,1
2,1,30,Yes,1
2,1,32,Yes,1
2,1,34,Yes,1
2,1,36,Yes,1
2,1,38,Yes,1
2,1,40,Yes,0
2,1,42,Yes,0
2,1,44,Yes,1
2,1,46,Yes,1
2,1,48,Yes,1
2,1,50,Yes,1
2,2,0,Yes,
2,2,2,Yes,
2,2,4,Yes,
2,2,6,Yes,
2,2,8,Yes,
2,2,10,Yes,
2,2,12,Yes,
2,2,14,Yes,
2,2,16,Yes,
2,2,18,Yes,
2,2,20,Yes,
2,2,22,Yes,
2,2,24,Yes,
2,2,26,Yes,
2,2,28,Yes,
2,2,30,Yes,
2,2,32,Yes,
2,2,34,Yes,
2,2,36,Yes,
2,2,38,Yes,
2,2,40,Yes,
2,2,42,Yes,
2,2,44,Yes,
2,2,46,Yes,
2,2,48,Yes,
2,2,50,Yes,
2,3,0,Yes,
2,3,2,Yes,
2,3,4,Yes,
2,3,6,Yes,
2,3,8,Yes,
2,3,10,Yes,
2,3,12,Yes,
2,3,14,Yes,
2,3,16,Yes,
2,3,18,Yes,
2,3,20,Yes,
2,3,22,Na,
2,3,24,Na,
2,3,26,Yes,
2,3,28,Yes,
2,3,30,Yes,
2,3,32,Yes,
2,3,34,Yes,
2,3,36,Yes,
2,3,38,Yes,
2,3,40,Yes,
2,3,42,Yes,
2,3,44,Yes,
2,3,46,Yes,
2,3,48,Yes,
2,3,50,Yes,
2,4,0,Yes,1
2,4,2,Yes,1
2,4,4,Yes,1
2,4,6,Yes,1
2,4,8,Yes,1
2,4,10,Yes,1
2,4,12,Yes,1
2,4,14,Na,1
2,4,16,Yes,1
2,4,18,Yes,1
2,4,20,Yes,1
2,4,22,Yes,
2,4,24,Yes,
2,4,26,Yes,
2,4,28,Yes,
2,4,30,Yes,
2,4,32,Yes,
2,4,34,Yes,
2,4,36,Yes,
2,4,38,Yes,
2,4,40,Yes,
2,4,42,Yes,
2,4,44,Yes,
2,4,46,Yes,
2,4,48,Yes,
2,4,50,Yes,
2,5,0,Yes,
2,5,2,Yes,
2,5,4,Yes,
2,5,6,Yes,
2,5,8,Yes,
2,5,10,Yes,
2,5,12,Yes,
2,5,14,Yes,
2,5,16,Yes,
2,5,18,Yes,
2,5,20,Yes,
2,5,22,Yes,
2,5,24,Yes,
2,5,26,Yes,
2,5,28,Yes,
2,5,30,Yes,
2,5,32,Yes,
2,5,34,Yes,
2,5,36,Yes,
2,5,38,Yes,
2,5,40,Yes,
2,5,42,Yes,
2,5,44,Yes,
2,5,46,Yes,
2,5,48,Yes,
2,5,50,Yes,
2,6,0,Yes,
2,6,2,Yes,
2,6,4,Yes,
2,6,6,Yes,
2,6,8,Yes,
2,6,10,Yes,
2,6,12,Yes,
2,6,14,Yes,
2,6,16,Yes,
2,6,18,Yes,
2,6,20,Yes,
2,6,22,Yes,
2,6,24,Yes,
2,6,26,Yes,
2,6,28,Yes,
2,6,30,Yes,
2,6,32,Yes,
2,6,34,Yes,
2,6,36,Na,
2,6,38,Yes,
2,6,40,Yes,
2,6,42,Yes,
2,6,44,Na,
2,6,46,Na,
2,6,48,Yes,
2,6,50,Yes,
3,1,0,Yes,
3,1,2,Na,
3,1,4,Na,
3,1,6,Yes,
3,1,8,Yes,
3,1,10,Yes,
3,1,12,Yes,
3,1,14,Yes,
3,1,16,Yes,
3,1,18,Yes,
3,1,20,Yes,
3,1,22,Yes,
3,1,24,Na,
3,1,26,Yes,
3,1,28,Yes,
3,1,30,Yes,
3,1,32,Yes,
3,1,34,Yes,
3,1,36,Na,
3,1,38,Yes,
3,1,40,Yes,
3,1,42,Yes,
3,1,44,Yes,
3,1,46,Yes,
3,1,48,Yes,
3,1,50,Yes,
3,2,0,Yes,
3,2,2,Yes,
3,2,4,Yes,
3,2,6,Yes,
3,2,8,Yes,
3,2,10,Yes,
3,2,12,Yes,
3,2,14,Yes,
3,2,16,Yes,
3,2,18,Yes,
3,2,20,Yes,
3,2,22,Yes,
3,2,24,Yes,
3,2,26,Yes,
3,2,28,Yes,
3,2,30,Yes,
3,2,32,Yes,
3,2,34,Yes,
3,2,36,Yes,
3,2,38,Yes,
3,2,40,Yes,
3,2,42,Yes,
3,2,44,Yes,
3,2,46,Yes,
3,2,48,Yes,
3,2,50,Yes,
3,3,0,Na,
3,3,2,Yes,
3,3,4,Yes,
3,3,6,Yes,
3,3,8,Yes,
3,3,10,Yes,
3,3,12,Yes,
3,3,14,Yes,
3,3,16,Yes,
3,3,18,Yes,
3,3,20,Na,
3,3,22,Na,
3,3,24,Yes,
3,3,26,Yes,
3,3,28,Yes,
3,3,30,Yes,
3,3,32,Yes,
3,3,34,Yes,
3,3,36,Yes,
3,3,38,Yes,
3,3,40,Yes,
3,3,42,Yes,
3,3,44,Yes,
3,3,46,Yes,
3,3,48,Yes,
3,3,50,Yes,
3,4,0,Na,
3,4,2,Yes,
3,4,4,Yes,
3,4,6,Na,
3,4,8,Yes,
3,4,10,Yes,
3,4,12,Yes,
3,4,14,Yes,
3,4,16,Yes,
3,4,18,Yes,
3,4,20,Yes,
3,4,22,Yes,
3,4,24,Yes,
3,4,26,Yes,
3,4,28,Yes,
3,4,30,Na,
3,4,32,Na,
3,4,34,Yes,
3,4,36,Yes,
3,4,38,Yes,
3,4,40,Yes,
3,4,42,Yes,
3,4,44,Yes,
3,4,46,Yes,
3,4,48,Yes,
3,4,50,Yes,
3,5,0,Yes,
3,5,2,Yes,
3,5,4,Yes,
3,5,6,Yes,
3,5,8,Yes,
3,5,10,Yes,
3,5,12,Yes,
3,5,14,Yes,
3,5,16,Yes,
3,5,18,Yes,
3,5,20,Yes,
3,5,22,Yes,
3,5,24,Yes,
3,5,26,Na,
3,5,28,Yes,
3,5,30,Na,
3,5,32,Na,
3,5,34,Na,
3,5,36,Yes,
3,5,38,Yes,
3,5,40,Yes,
3,5,42,Na,
3,5,44,Yes,
3,5,46,Na,
3,5,48,Yes,
3,5,50,Na,
3,6,0,Yes,
3,6,2,Yes,
3,6,4,Na,
3,6,6,Na,
3,6,8,Yes,
3,6,10,Yes,
3,6,12,Na,
3,6,14,Yes,
3,6,16,Yes,
3,6,18,Yes,
3,6,20,Yes,
3,6,22,Yes,
3,6,24,Yes,
3,6,26,Yes,
3,6,28,Yes,
3,6,30,Yes,
3,6,32,Na,
3,6,34,Yes,
3,6,36,Yes,
3,6,38,Yes,
3,6,40,Yes,
3,6,42,Yes,
3,6,44,Yes,
3,6,46,Yes,
3,6,48,Yes,
3,6,50,Yes,
4,1,0,Yes,
4,1,2,Yes,
4,1,4,Yes,
4,1,6,Yes,
4,1,8,Yes,
4,1,10,Yes,
4,1,12,Yes,
4,1,14,Yes,
4,1,16,Yes,
4,1,18,Yes,
4,1,20,Yes,
4,1,22,Yes,
4,1,24,Yes,
4,1,26,Yes,
4,1,28,Yes,
4,1,30,Yes,
4,1,32,Yes,
4,1,34,Yes,
4,1,36,Yes,
4,1,38,Yes,
4,1,40,Yes,
4,1,42,Yes,
4,1,44,Yes,
4,1,46,Yes,
4,1,48,Yes,
4,1,50,Yes,
4,2,0,Yes,
4,2,2,Yes,
4,2,4,Yes,
4,2,6,Yes,
4,2,8,Yes,
4,2,10,Yes,
4,2,12,Yes,
4,2,14,Yes,
4,2,16,Yes,
4,2,18,Yes,
4,2,20,Yes,
4,2,22,Yes,
4,2,24,Yes,
4,2,26,Yes,
4,2,28,Yes,
4,2,30,Yes,
4,2,32,Yes,
4,2,34,Yes,
4,2,36,Yes,
4,2,38,Yes,
4,2,40,Yes,
4,2,42,Yes,
4,2,44,Yes,
4,2,46,Yes,
4,2,48,Yes,
4,2,50,Yes,
4,3,0,Yes,
4,3,2,Yes,
4,3,4,Yes,
4,3,6,Yes,
4,3,8,Yes,
4,3,10,Yes,
4,3,12,Yes,
4,3,14,Yes,
4,3,16,Yes,
4,3,18,Yes,
4,3,20,Yes,
4,3,22,Yes,
4,3,24,Yes,
4,3,26,Yes,
4,3,28,Yes,
4,3,30,Yes,
4,3,32,Yes,
4,3,34,Yes,
4,3,36,Yes,
4,3,38,Yes,
4,3,40,Yes,
4,3,42,Yes,
4,3,44,Yes,
4,3,46,Yes,
4,3,48,Yes,
4,3,50,Yes,
4,4,0,Na,
4,4,2,Yes,
4,4,4,Yes,
4,4,6,Yes,
4,4,8,Yes,
4,4,10,Yes,
4,4,12,Yes,
4,4,14,Yes,
4,4,16,Yes,
4,4,18,Yes,
4,4,20,Yes,
4,4,22,Yes,
4,4,24,Yes,
4,4,26,Yes,
4,4,28,Yes,
4,4,30,Yes,
4,4,32,Yes,
4,4,34,Yes,
4,4,36,Yes,
4,4,38,Yes,
4,4,40,Yes,
4,4,42,Yes,
4,4,44,Yes,
4,4,46,Yes,
4,4,48,Yes,
4,4,50,Yes,
4,5,0,Na,
4,5,2,Na,
4,5,4,Yes,
4,5,6,Yes,
4,5,8,Yes,
4,5,10,Yes,
4,5,12,Yes,
4,5,14,Yes,
4,5,16,Yes,
4,5,18,Yes,
4,5,20,Yes,
4,5,22,Yes,
4,5,24,Yes,
4,5,26,Yes,
4,5,28,Yes,
4,5,30,Yes,
4,5,32,Yes,
4,5,34,Yes,
4,5,36,Yes,
4,5,38,Yes,
4,5,40,Yes,
4,5,42,Yes,
4,5,44,Yes,
4,5,46,Yes,
4,5,48,Yes,
4,5,50,Yes,
4,6,0,Na,
4,6,2,Na,
4,6,4,Yes,
4,6,6,Yes,
4,6,8,Yes,
4,6,10,Yes,
4,6,12,Yes,
4,6,14,Yes,
4,6,16,Yes,
4,6,18,Yes,
4,6,20,Yes,
4,6,22,Yes,
4,6,24,Yes,
4,6,26,Yes,
4,6,28,Yes,
4,6,30,Yes,
4,6,32,Yes,
4,6,34,Yes,
4,6,36,Yes,
4,6,38,Yes,
4,6,40,Yes,
4,6,42,Yes,
4,6,44,Yes,
4,6,46,Yes,
4,6,48,Yes,
4,6,50,Yes,
5,1,0,Yes,
5,1,2,Yes,
5,1,4,Yes,
5,1,6,Yes,
5,1,8,Yes,
5,1,10,Yes,
5,1,12,Yes,
5,1,14,Yes,
5,1,16,Yes,
5,1,18,Yes,
5,1,20,Yes,
5,1,22,Yes,
5,1,24,Yes,
5,1,26,Yes,
5,1,28,Yes,
5,1,30,Yes,
5,1,32,Yes,
5,1,34,Yes,
5,1,36,Yes,
5,1,38,Yes,
5,1,40,Yes,
5,1,42,Yes,
5,1,44,Yes,
5,1,46,Yes,
5,1,48,Yes,
5,1,50,Yes,
5,2,0,Na,
5,2,2,Yes,
5,2,4,Yes,
5,2,6,Yes,
5,2,8,Yes,
5,2,10,Yes,
5,2,12,Yes,
5,2,14,Yes,
5,2,16,Yes,
5,2,18,Yes,
5,2,20,Yes,
5,2,22,Yes,
5,2,24,Yes,
5,2,26,Yes,
5,2,28,Yes,
5,2,30,Yes,
5,2,32,Yes,
5,2,34,Yes,
5,2,36,Yes,
5,2,38,Yes,
5,2,40,Yes,
5,2,42,Yes,
5,2,44,Yes,
5,2,46,Yes,
5,2,48,Yes,
5,2,50,Yes,
5,3,0,Yes,
5,3,2,Yes,
5,3,4,Yes,
5,3,6,Yes,
5,3,8,Yes,
5,3,10,Yes,
5,3,12,Yes,
5,3,14,Yes,
5,3,16,Yes,
5,3,18,Yes,
5,3,20,Yes,
5,3,22,Yes,
5,3,24,,
5,3,26,Yes,
5,3,28,Yes,
5,3,30,Yes,
5,3,32,Yes,
5,3,34,Yes,
5,3,36,Yes,
5,3,38,Yes,
5,3,40,Yes,
5,3,42,Yes,
5,3,44,Yes,
5,3,46,Yes,
5,3,48,Yes,
5,3,50,Yes,
5,4,0,Yes,
5,4,2,Yes,
5,4,4,Yes,
5,4,6,Yes,
5,4,8,Yes,
5,4,10,Yes,
5,4,12,Yes,
5,4,14,Yes,
5,4,16,Yes,
5,4,18,Yes,
5,4,20,Yes,
5,4,22,Yes,
5,4,24,Yes,
5,4,26,Yes,
5,4,28,Yes,
5,4,30,Yes,
5,4,32,Yes,
5,4,34,Yes,
5,4,36,Yes,
5,4,38,Yes,
5,4,40,Yes,
5,4,42,Yes,
5,4,44,Yes,
5,4,46,Yes,
5,4,48,Yes,
5,4,50,Yes,
5,5,0,Yes,
5,5,2,Yes,
5,5,4,Yes,
5,5,6,Yes,
5,5,8,Yes,
5,5,10,Yes,
5,5,12,Yes,
5,5,14,Yes,
5,5,16,Yes,
5,5,18,Yes,
5,5,20,Yes,
5,5,22,Yes,
5,5,24,Yes,
5,5,26,Yes,
5,5,28,Yes,
5,5,30,Yes,
5,5,32,Yes,
5,5,34,Yes,
5,5,36,Yes,
5,5,38,Yes,
5,5,40,Yes,
5,5,42,Yes,
5,5,44,Yes,
5,5,46,Yes,
5,5,48,Yes,
5,5,50,Yes,
5,6,0,Yes,
5,6,2,Yes,
5,6,4,Yes,
5,6,6,Yes,
5,6,8,Yes,
5,6,10,Yes,
5,6,12,Yes,
5,6,14,Yes,
5,6,16,Yes,
5,6,18,Yes,
5,6,20,Yes,
5,6,22,Yes,
5,6,24,Yes,
5,6,26,Yes,
5,6,28,Yes,
5,6,30,Yes,
5,6,32,Yes,
5,6,34,Yes,
5,6,36,Yes,
5,6,38,Yes,
5,6,40,Yes,
5,6,42,Yes,
5,6,44,Yes,
5,6,46,Yes,
5,6,48,Yes,
5,6,50,Na,
6,1,0,Yes,
6,1,2,Yes,
6,1,4,Yes,
6,1,6,Yes,
6,1,8,Yes,
6,1,10,Na,
6,1,12,Na,
6,1,14,Yes,
6,1,16,Yes,
6,1,18,Yes,
6,1,20,Yes,
6,1,22,Yes,
6,1,24,Na,
6,1,26,Na,
6,1,28,Yes,
6,1,30,Yes,
6,1,32,Yes,
6,1,34,Na,
6,1,36,Yes,
6,1,38,Na,
6,1,40,Yes,
6,1,42,Na,
6,1,44,Na,
6,1,46,Yes,
6,1,48,Yes,
6,1,50,Na,
6,2,0,Yes,
6,2,2,Yes,
6,2,4,Yes,
6,2,6,Yes,
6,2,8,Yes,
6,2,10,Yes,
6,2,12,Yes,
6,2,14,Yes,
6,2,16,Yes,
6,2,18,Yes,
6,2,20,Yes,
6,2,22,Yes,
6,2,24,Yes,
6,2,26,Yes,
6,2,28,Yes,
6,2,30,Yes,
6,2,32,Yes,
6,2,34,Yes,
6,2,36,Yes,
6,2,38,Yes,
6,2,40,Yes,
6,2,42,Na,
6,2,44,Yes,
6,2,46,Na,
6,2,48,Yes,
6,2,50,Yes,
6,3,0,Yes,
6,3,2,Yes,
6,3,4,Yes,
6,3,6,Yes,
6,3,8,Yes,
6,3,10,Yes,
6,3,12,Yes,
6,3,14,Yes,
6,3,16,Yes,
6,3,18,Yes,
6,3,20,Yes,
6,3,22,Na,
6,3,24,Yes,
6,3,26,Yes,
6,3,28,Yes,
6,3,30,Yes,
6,3,32,Na,
6,3,34,Yes,
6,3,36,Yes,
6,3,38,Yes,
6,3,40,Na,
6,3,42,Yes,
6,3,44,Yes,
6,3,46,Yes,
6,3,48,Yes,
6,3,50,Yes,
9,1,0,Yes,
9,1,2,Yes,
9,1,4,Yes,
9,1,6,Yes,
9,1,8,Yes,
9,1,10,Yes,
9,1,12,Yes,
9,1,14,Yes,
9,1,16,Yes,
9,1,18,Yes,
9,1,20,Yes,
9,1,22,Yes,
9,1,24,Yes,
9,1,26,Yes,
9,1,28,Yes,
9,1,30,Yes,
9,1,32,Yes,
9,1,34,Yes,
9,1,36,Yes,
9,1,38,Yes,
9,1,40,Yes,
9,1,42,Yes,
9,1,44,Yes,
9,1,46,Yes,
9,1,48,Yes,
9,1,50,Yes,
9,2,0,Yes,
9,2,2,Yes,
9,2,4,Yes,
9,2,6,Yes,
9,2,8,Yes,
9,2,10,Yes,
9,2,12,Yes,
9,2,14,Yes,
9,2,16,Yes,
9,2,18,Yes,
9,2,20,Na,
9,2,22,Yes,
9,2,24,Yes,
9,2,26,Yes,
9,2,28,Yes,
9,2,30,Yes,
9,2,32,Yes,
9,2,34,Yes,
9,2,36,Yes,
9,2,38,Yes,
9,2,40,Yes,
9,2,42,Yes,
9,2,44,Yes,
9,2,46,Yes,
9,2,48,Yes,
9,2,50,Yes,
9,3,0,Yes,
9,3,2,Yes,
9,3,4,Yes,
9,3,6,Yes,
9,3,8,Yes,
9,3,10,Yes,
9,3,12,Yes,
9,3,14,Yes,
9,3,16,Yes,
9,3,18,Yes,
9,3,20,Yes,
9,3,22,Yes,
9,3,24,Yes,
9,3,26,Yes,
9,3,28,Yes,
9,3,30,Yes,
9,3,32,Yes,
9,3,34,Yes,
9,3,36,Yes,
9,3,38,Yes,
9,3,40,Yes,
9,3,42,Yes,
9,3,44,Yes,
9,3,46,Yes,
9,3,48,Yes,
9,3,50,Yes,
11,1,0,Yes,
11,1,2,Yes,
11,1,4,Yes,
11,1,6,Na,
11,1,8,Yes,
11,1,10,Yes,
11,1,12,Yes,
11,1,14,Na,
11,1,16,Na,
11,1,18,Na,
11,1,20,Yes,
11,1,22,Yes,
11,1,24,Yes,
11,1,26,Yes,
11,1,28,Yes,
11,1,30,Yes,
11,1,32,Yes,
11,1,34,Yes,
11,1,36,Yes,
11,1,38,Yes,
11,1,40,Yes,
11,1,42,Na,
11,1,44,Yes,
11,1,46,Yes,
11,1,48,Yes,
11,1,50,Yes,
11,2,0,Yes,
11,2,2,Yes,
11,2,4,Yes,
11,2,6,Yes,
11,2,8,Yes,
11,2,10,Yes,
11,2,12,Yes,
11,2,14,Yes,
11,2,16,Yes,
11,2,18,Yes,
11,2,20,Yes,
11,2,22,Yes,
11,2,24,Yes,
11,2,26,Yes,
11,2,28,Yes,
11,2,30,Yes,
11,2,32,Yes,
11,2,34,Yes,
11,2,36,Yes,
11,2,38,Yes,
11,2,40,Yes,
11,2,42,Na,
11,2,44,Yes,
11,2,46,Yes,
11,2,48,Yes,
11,2,50,Yes,
11,3,0,Yes,1
11,3,2,Yes,
11,3,4,Yes,
11,3,6,Yes,
11,3,8,Yes,
11,3,10,Yes,
11,3,12,Yes,
11,3,14,Yes,
11,3,16,Yes,
11,3,18,Yes,
11,3,20,Yes,
11,3,22,Yes,
11,3,24,Yes,
11,3,26,Yes,
11,3,28,Yes,
11,3,30,Yes,
11,3,32,Yes,
11,3,34,Yes,
11,3,36,Yes,
11,3,38,Yes,
11,3,40,Yes,
11,3,42,Yes,
11,3,44,Yes,
11,3,46,Yes,
11,3,48,Yes,
11,3,50,Yes,
11,4,0,Yes,
11,4,2,Yes,
11,4,4,Yes,
11,4,6,Yes,
11,4,8,Yes,
11,4,10,Yes,
11,4,12,Yes,
11,4,14,Yes,
11,4,16,Yes,
11,4,18,Yes,
11,4,20,Yes,
11,4,22,Yes,
11,4,24,Yes,
11,4,26,Yes,
11,4,28,Yes,
11,4,30,Yes,
11,4,32,Yes,
11,4,34,Yes,
11,4,36,Yes,
11,4,38,Yes,
11,4,40,Yes,
11,4,42,Yes,
11,4,44,Yes,
11,4,46,Yes,
11,4,48,Yes,
11,4,50,Yes,
11,5,0,Yes,
11,5,2,Yes,
11,5,4,Yes,
11,5,6,Yes,
11,5,8,Yes,
11,5,10,Yes,
11,5,12,Yes,
11,5,14,Yes,
11,5,16,Yes,
11,5,18,Yes,
11,5,20,Yes,
11,5,22,Yes,
11,5,24,Yes,
11,5,26,Yes,
11,5,28,Yes,
11,5,30,Yes,
11,5,32,Yes,
11,5,34,Yes,
11,5,36,Yes,
11,5,38,Yes,
11,5,40,Yes,
11,5,42,Yes,
11,5,44,Yes,
11,5,46,Yes,
11,5,48,Yes,
11,5,50,Yes,
11,6,0,Yes,
11,6,2,Yes,
11,6,4,Yes,
11,6,6,Yes,
11,6,8,Yes,
11,6,10,Yes,
11,6,12,Yes,
11,6,14,Yes,
11,6,16,Yes,
11,6,18,Yes,
11,6,20,Yes,
11,6,22,Yes,
11,6,24,Yes,
11,6,26,Yes,
11,6,28,Yes,
11,6,30,Yes,
11,6,32,Yes,
11,6,34,Yes,
11,6,36,Yes,
11,6,38,Yes,
11,6,40,Yes,
11,6,42,Yes,
11,6,44,Yes,
11,6,46,Yes,
11,6,48,Yes,
11,6,50,Yes,
12,1,0,Yes,1
12,1,2,Na,
12,1,4,Yes,
12,1,6,Na,
12,1,8,Yes,
12,1,10,Yes,
12,1,12,Yes,
12,1,14,Na,
12,1,16,Yes,
12,1,18,Na,
12,1,20,Yes,
12,1,22,Yes,
12,1,24,Yes,
12,1,26,Yes,
12,1,28,Yes,
12,1,30,Yes,
12,1,32,Yes,
12,1,34,Yes,
12,1,36,Yes,
12,1,38,Na,
12,1,40,Yes,
12,1,42,Yes,
12,1,44,Yes,
12,1,46,Yes,
12,1,48,Yes,
12,1,50,Yes,
12,2,0,Yes,1
12,2,2,Yes,
12,2,4,Yes,
12,2,6,Yes,
12,2,8,Yes,
12,2,10,Yes,
12,2,12,Yes,
12,2,14,Yes,
12,2,16,Yes,
12,2,18,Yes,
12,2,20,Na,
12,2,22,Yes,
12,2,24,Na,
12,2,26,Yes,
12,2,28,Yes,
12,2,30,Yes,
12,2,32,Yes,
12,2,34,Yes,
12,2,36,Na,
12,2,38,Yes,
12,2,40,Yes,
12,2,42,Yes,
12,2,44,Yes,
12,2,46,Na,
12,2,48,Na,
12,2,50,Yes,
12,3,0,Yes,
12,3,2,Yes,
12,3,4,Yes,
12,3,6,Yes,
12,3,8,Yes,
12,3,10,Yes,
12,3,12,Yes,
12,3,14,Yes,
12,3,16,Yes,
12,3,18,Yes,
12,3,20,Yes,
12,3,22,Yes,
12,3,24,Yes,
12,3,26,Yes,
12,3,28,Yes,
12,3,30,Yes,
12,3,32,Yes,
12,3,34,Na,
12,3,36,Yes,
12,3,38,Yes,
12,3,40,Yes,
12,3,42,Yes,
12,3,44,Yes,
12,3,46,Yes,
12,3,48,Yes,
12,3,50,Yes,
14,1,0,Yes,
14,1,2,Yes,
14,1,4,Yes,
14,1,6,Yes,
14,1,8,Yes,
14,1,10,Yes,
14,1,12,Yes,
14,1,14,Yes,
14,1,16,Yes,
14,1,18,Yes,
14,1,20,Yes,
14,1,22,Yes,
14,1,24,Yes,
14,1,26,Yes,
14,1,28,Yes,
14,1,30,Yes,
14,1,32,Yes,
14,1,34,Yes,
14,1,36,Yes,
14,1,38,Yes,
14,1,40,Yes,
14,1,42,Yes,
14,1,44,Yes,
14,1,46,Yes,
14,1,48,Yes,
14,1,50,Yes,
14,2,0,Yes,
14,2,2,Yes,
14,2,4,Yes,
14,2,6,Na,
14,2,8,Yes,
14,2,10,Na,
14,2,12,Yes,
14,2,14,Yes,
14,2,16,Yes,
14,2,18,Na,
14,2,20,Yes,
14,2,22,Yes,
14,2,24,Yes,
14,2,26,Yes,
14,2,28,Yes,
14,2,30,Yes,
14,2,32,Yes,
14,2,34,Yes,
14,2,36,Yes,
14,2,38,Yes,
14,2,40,Yes,
14,2,42,Yes,
14,2,44,Yes,
14,2,46,Yes,
14,2,48,Yes,
14,2,50,Yes,
14,3,0,Yes,
14,3,2,Yes,
14,3,4,Yes,
14,3,6,Yes,
14,3,8,Yes,
14,3,10,Yes,
14,3,12,Yes,
14,3,14,Yes,
14,3,16,Yes,
14,3,18,Yes,
14,3,20,Yes,
14,3,22,Yes,
14,3,24,Yes,
14,3,26,Yes,
14,3,28,Yes,
14,3,30,Yes,
14,3,32,Yes,
14,3,34,Na,
14,3,36,Yes,
14,3,38,Yes,
14,3,40,Yes,
14,3,42,Yes,
14,3,44,Yes,
14,3,46,Yes,
14,3,48,Yes,
14,3,50,Yes,
15,1,0,Yes,
15,1,2,Yes,
15,1,4,Yes,
15,1,6,Yes,
15,1,8,Yes,
15,1,10,Yes,
15,1,12,Yes,
15,1,14,Yes,
15,1,16,Yes,
15,1,18,Yes,
15,1,20,Yes,
15,1,22,Yes,
15,1,24,Yes,
15,1,26,Yes,
15,1,28,Yes,
15,1,30,Yes,
15,1,32,Yes,
15,1,34,Yes,
15,1,36,Yes,
15,1,38,Yes,
15,1,40,Yes,
15,1,42,Yes,
