Date_french_format,Number,Site,Transect,SEM_sample,Bag_name,Localisation,SEM_sample_backup,Box_name_backup,Localisation_backup,Bulk_density,Localisation_Bulk_density,Comment
4/2/23,699,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,704,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,710,S3,T3,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,711,S3,T3,YES,Site3_data,Moorea,NA,NA,NA,NA,Moorea,
4/2/23,713,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,714,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,715,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,717,S3,T3,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,718,S3,T3,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,719,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,720,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,729,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,730,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,732,S3,T3,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
