year,site,habitat,depth,quad,patch,benthic_category,percent_cover
2005,LTER_1,Backreef,2,NA15,1,ctb,8
2005,LTER_1,Backreef,2,NA15,1,macroalgae,0
2005,LTER_1,Backreef,2,NA15,1,millepora,0
2005,LTER_1,Backreef,2,NA15,1,sand,80
2005,LTER_1,Backreef,2,NA15,2,coral,76
2005,LTER_1,Backreef,2,NA15,2,ctb,20
2005,LTER_1,Backreef,2,NA15,2,macroalgae,4
2005,LTER_1,Backreef,2,NA15,2,millepora,0
2005,LTER_1,Backreef,2,NA15,2,sand,0
2005,LTER_1,Backreef,2,NA15,3,coral,4
2005,LTER_1,Backreef,2,NA15,3,ctb,88
2005,LTER_1,Backreef,2,NA15,3,macroalgae,0
2005,LTER_1,Backreef,2,NA15,3,millepora,0
2005,LTER_1,Backreef,2,NA15,3,sand,8
2005,LTER_1,Backreef,2,NA15,4,coral,0
2005,LTER_1,Backreef,2,NA15,4,ctb,16
2005,LTER_1,Backreef,2,NA15,4,macroalgae,0
2005,LTER_1,Backreef,2,NA15,4,millepora,0
2005,LTER_1,Backreef,2,NA15,4,sand,84
2005,LTER_1,Backreef,2,NA15,5,coral,100
2005,LTER_1,Backreef,2,NA15,5,ctb,0
2005,LTER_1,Backreef,2,NA15,5,macroalgae,0
2005,LTER_1,Backreef,2,NA15,5,millepora,0
2005,LTER_1,Backreef,2,NA15,5,sand,0
2005,LTER_1,Backreef,2,NA16,1,coral,72
2005,LTER_1,Backreef,2,NA16,1,ctb,24
2005,LTER_1,Backreef,2,NA16,1,macroalgae,4
2005,LTER_1,Backreef,2,NA16,1,millepora,0
2005,LTER_1,Backreef,2,NA16,1,sand,0
2005,LTER_1,Backreef,2,NA16,2,coral,48
2005,LTER_1,Backreef,2,NA16,2,ctb,48
2005,LTER_1,Backreef,2,NA16,2,macroalgae,0
2005,LTER_1,Backreef,2,NA16,2,millepora,0
2005,LTER_1,Backreef,2,NA16,2,sand,4
2005,LTER_1,Backreef,2,NA16,3,coral,72
2005,LTER_1,Backreef,2,NA16,3,ctb,12
2005,LTER_1,Backreef,2,NA16,3,macroalgae,12
2005,LTER_1,Backreef,2,NA16,3,millepora,0
2005,LTER_1,Backreef,2,NA16,3,sand,4
2005,LTER_1,Backreef,2,NA16,4,coral,0
2005,LTER_1,Backreef,2,NA16,4,ctb,92
2005,LTER_1,Backreef,2,NA16,4,macroalgae,0
2005,LTER_1,Backreef,2,NA16,4,millepora,0
2005,LTER_1,Backreef,2,NA16,4,sand,8
2005,LTER_1,Backreef,2,NA16,5,coral,80
2005,LTER_1,Backreef,2,NA16,5,ctb,16
2005,LTER_1,Backreef,2,NA16,5,macroalgae,4
2005,LTER_1,Backreef,2,NA16,5,millepora,0
2005,LTER_1,Backreef,2,NA16,5,sand,0
2005,LTER_1,Backreef,2,NA17,1,coral,36
2005,LTER_1,Backreef,2,NA17,1,ctb,60
2005,LTER_1,Backreef,2,NA17,1,macroalgae,0
2005,LTER_1,Backreef,2,NA17,1,millepora,0
2005,LTER_1,Backreef,2,NA17,1,sand,4
2005,LTER_1,Backreef,2,NA17,2,coral,44
2005,LTER_1,Backreef,2,NA17,2,ctb,56
2005,LTER_1,Backreef,2,NA17,2,macroalgae,0
2005,LTER_1,Backreef,2,NA17,2,millepora,0
2005,LTER_1,Backreef,2,NA17,2,sand,0
2005,LTER_1,Backreef,2,NA17,3,coral,24
2005,LTER_1,Backreef,2,NA17,3,ctb,76
2005,LTER_1,Backreef,2,NA17,3,macroalgae,0
2005,LTER_1,Backreef,2,NA17,3,millepora,0
2005,LTER_1,Backreef,2,NA17,3,sand,0
2005,LTER_1,Backreef,2,NA17,4,coral,0
2005,LTER_1,Backreef,2,NA17,4,ctb,80
2005,LTER_1,Backreef,2,NA17,4,macroalgae,5
2005,LTER_1,Backreef,2,NA17,4,millepora,0
2005,LTER_1,Backreef,2,NA17,4,sand,15
2005,LTER_1,Backreef,2,NA17,5,coral,0
2005,LTER_1,Backreef,2,NA17,5,ctb,36
2005,LTER_1,Backreef,2,NA17,5,macroalgae,0
2005,LTER_1,Backreef,2,NA17,5,millepora,0
2005,LTER_1,Backreef,2,NA17,5,sand,64
2005,LTER_1,Backreef,2,NA18,1,coral,48
2005,LTER_1,Backreef,2,NA18,1,ctb,52
2005,LTER_1,Backreef,2,NA18,1,macroalgae,0
2005,LTER_1,Backreef,2,NA18,1,millepora,0
2005,LTER_1,Backreef,2,NA18,1,sand,0
2005,LTER_1,Backreef,2,NA18,2,coral,20
2005,LTER_1,Backreef,2,NA18,2,ctb,80
2005,LTER_1,Backreef,2,NA18,2,macroalgae,0
2005,LTER_1,Backreef,2,NA18,2,millepora,0
2005,LTER_1,Backreef,2,NA18,2,sand,0
2005,LTER_1,Backreef,2,NA18,3,coral,48
2005,LTER_1,Backreef,2,NA18,3,ctb,52
2005,LTER_1,Backreef,2,NA18,3,macroalgae,0
2005,LTER_1,Backreef,2,NA18,3,millepora,0
2005,LTER_1,Backreef,2,NA18,3,sand,0
2005,LTER_1,Backreef,2,NA18,4,coral,4
2005,LTER_1,Backreef,2,NA18,4,ctb,28
2005,LTER_1,Backreef,2,NA18,4,macroalgae,0
2005,LTER_1,Backreef,2,NA18,4,millepora,0
2005,LTER_1,Backreef,2,NA18,4,sand,68
2005,LTER_1,Backreef,2,NA18,5,coral,4
2005,LTER_1,Backreef,2,NA18,5,ctb,68
2005,LTER_1,Backreef,2,NA18,5,macroalgae,4
2005,LTER_1,Backreef,2,NA18,5,millepora,0
2005,LTER_1,Backreef,2,NA18,5,sand,24
2005,LTER_1,Backreef,2,NA19,1,coral,60
2005,LTER_1,Backreef,2,NA19,1,ctb,28
2005,LTER_1,Backreef,2,NA19,1,macroalgae,0
2005,LTER_1,Backreef,2,NA19,1,millepora,0
2005,LTER_1,Backreef,2,NA19,1,sand,12
2005,LTER_1,Backreef,2,NA19,2,coral,64
2005,LTER_1,Backreef,2,NA19,2,ctb,36
2005,LTER_1,Backreef,2,NA19,2,macroalgae,0
2005,LTER_1,Backreef,2,NA19,2,millepora,0
2005,LTER_1,Backreef,2,NA19,2,sand,0
2005,LTER_1,Backreef,2,NA19,3,coral,4
2005,LTER_1,Backreef,2,NA19,3,ctb,96
2005,LTER_1,Backreef,2,NA19,3,macroalgae,0
2005,LTER_1,Backreef,2,NA19,3,millepora,0
2005,LTER_1,Backreef,2,NA19,3,sand,0
2005,LTER_1,Backreef,2,NA19,4,coral,28
2005,LTER_1,Backreef,2,NA19,4,ctb,40
2005,LTER_1,Backreef,2,NA19,4,macroalgae,0
2005,LTER_1,Backreef,2,NA19,4,millepora,0
2005,LTER_1,Backreef,2,NA19,4,sand,32
2005,LTER_1,Backreef,2,NA19,5,coral,4
2005,LTER_1,Backreef,2,NA19,5,ctb,72
2005,LTER_1,Backreef,2,NA19,5,macroalgae,0
2005,LTER_1,Backreef,2,NA19,5,millepora,0
2005,LTER_1,Backreef,2,NA19,5,sand,24
2005,LTER_1,Backreef,2,NA2,1,coral,84
2005,LTER_1,Backreef,2,NA2,1,ctb,12
2005,LTER_1,Backreef,2,NA2,1,macroalgae,0
2005,LTER_1,Backreef,2,NA2,1,millepora,0
2005,LTER_1,Backreef,2,NA2,1,sand,4
2005,LTER_1,Backreef,2,NA2,2,coral,24
2005,LTER_1,Backreef,2,NA2,2,ctb,60
2005,LTER_1,Backreef,2,NA2,2,macroalgae,16
2005,LTER_1,Backreef,2,NA2,2,millepora,0
2005,LTER_1,Backreef,2,NA2,2,sand,0
2005,LTER_1,Backreef,2,NA2,3,coral,92
2005,LTER_1,Backreef,2,NA2,3,ctb,8
2005,LTER_1,Backreef,2,NA2,3,macroalgae,0
2005,LTER_1,Backreef,2,NA2,3,millepora,0
2005,LTER_1,Backreef,2,NA2,3,sand,0
2005,LTER_1,Backreef,2,NA2,4,coral,0
2005,LTER_1,Backreef,2,NA2,4,ctb,0
2005,LTER_1,Backreef,2,NA2,4,macroalgae,0
2005,LTER_1,Backreef,2,NA2,4,millepora,0
2005,LTER_1,Backreef,2,NA2,4,sand,100
2005,LTER_1,Backreef,2,NA2,5,coral,60
2005,LTER_1,Backreef,2,NA2,5,ctb,16
2005,LTER_1,Backreef,2,NA2,5,macroalgae,20
2005,LTER_1,Backreef,2,NA2,5,millepora,0
2005,LTER_1,Backreef,2,NA2,5,sand,4
2005,LTER_1,Backreef,2,NA20,1,coral,0
2005,LTER_1,Backreef,2,NA20,1,ctb,88
2005,LTER_1,Backreef,2,NA20,1,macroalgae,0
2005,LTER_1,Backreef,2,NA20,1,millepora,0
2005,LTER_1,Backreef,2,NA20,1,sand,12
2005,LTER_1,Backreef,2,NA20,2,coral,52
2005,LTER_1,Backreef,2,NA20,2,ctb,16
2005,LTER_1,Backreef,2,NA20,2,macroalgae,0
2005,LTER_1,Backreef,2,NA20,2,millepora,0
2005,LTER_1,Backreef,2,NA20,2,sand,32
2005,LTER_1,Backreef,2,NA20,3,coral,4
2005,LTER_1,Backreef,2,NA20,3,ctb,96
2005,LTER_1,Backreef,2,NA20,3,macroalgae,0
2005,LTER_1,Backreef,2,NA20,3,millepora,0
2005,LTER_1,Backreef,2,NA20,3,sand,0
2005,LTER_1,Backreef,2,NA20,4,coral,32
2005,LTER_1,Backreef,2,NA20,4,ctb,28
2005,LTER_1,Backreef,2,NA20,4,macroalgae,16
2005,LTER_1,Backreef,2,NA20,4,millepora,0
2005,LTER_1,Backreef,2,NA20,4,sand,24
2005,LTER_1,Backreef,2,NA20,5,coral,4
2005,LTER_1,Backreef,2,NA20,5,ctb,44
2005,LTER_1,Backreef,2,NA20,5,macroalgae,0
2005,LTER_1,Backreef,2,NA20,5,millepora,0
2005,LTER_1,Backreef,2,NA20,5,sand,52
2005,LTER_1,Backreef,2,NA3,1,coral,52
2005,LTER_1,Backreef,2,NA3,1,ctb,44
2005,LTER_1,Backreef,2,NA3,1,macroalgae,0
2005,LTER_1,Backreef,2,NA3,1,millepora,0
2005,LTER_1,Backreef,2,NA3,1,sand,4
2005,LTER_1,Backreef,2,NA3,2,coral,40
2005,LTER_1,Backreef,2,NA3,2,ctb,40
2005,LTER_1,Backreef,2,NA3,2,macroalgae,4
2005,LTER_1,Backreef,2,NA3,2,millepora,0
2005,LTER_1,Backreef,2,NA3,2,sand,16
2005,LTER_1,Backreef,2,NA3,3,coral,60
2005,LTER_1,Backreef,2,NA3,3,ctb,36
2005,LTER_1,Backreef,2,NA3,3,macroalgae,4
2005,LTER_1,Backreef,2,NA3,3,millepora,0
2005,LTER_1,Backreef,2,NA3,3,sand,0
2005,LTER_1,Backreef,2,NA3,4,coral,32
2005,LTER_1,Backreef,2,NA3,4,ctb,12
2005,LTER_1,Backreef,2,NA3,4,macroalgae,0
2005,LTER_1,Backreef,2,NA3,4,millepora,0
2005,LTER_1,Backreef,2,NA3,4,sand,56
2005,LTER_1,Backreef,2,NA3,5,coral,52
2005,LTER_1,Backreef,2,NA3,5,ctb,48
2005,LTER_1,Backreef,2,NA3,5,macroalgae,0
2005,LTER_1,Backreef,2,NA3,5,millepora,0
2005,LTER_1,Backreef,2,NA3,5,sand,0
2005,LTER_1,Backreef,2,NA4,1,coral,17
2005,LTER_1,Backreef,2,NA4,1,ctb,75
2005,LTER_1,Backreef,2,NA4,1,macroalgae,8
2005,LTER_1,Backreef,2,NA4,1,millepora,0
2005,LTER_1,Backreef,2,NA4,1,sand,0
2005,LTER_1,Backreef,2,NA4,2,coral,76
2005,LTER_1,Backreef,2,NA4,2,ctb,12
2005,LTER_1,Backreef,2,NA4,2,macroalgae,8
2005,LTER_1,Backreef,2,NA4,2,millepora,0
2005,LTER_1,Backreef,2,NA4,2,sand,4
2005,LTER_1,Backreef,2,NA4,3,coral,48
2005,LTER_1,Backreef,2,NA4,3,ctb,52
2005,LTER_1,Backreef,2,NA4,3,macroalgae,0
2005,LTER_1,Backreef,2,NA4,3,millepora,0
2005,LTER_1,Backreef,2,NA4,3,sand,0
2005,LTER_1,Backreef,2,NA4,4,coral,4
2005,LTER_1,Backreef,2,NA4,4,ctb,44
2005,LTER_1,Backreef,2,NA4,4,macroalgae,0
2005,LTER_1,Backreef,2,NA4,4,millepora,0
2005,LTER_1,Backreef,2,NA4,4,sand,52
2005,LTER_1,Backreef,2,NA4,5,coral,100
2005,LTER_1,Backreef,2,NA4,5,ctb,0
2005,LTER_1,Backreef,2,NA4,5,macroalgae,0
2005,LTER_1,Backreef,2,NA4,5,millepora,0
2005,LTER_1,Backreef,2,NA4,5,sand,0
2005,LTER_1,Backreef,2,NA5,1,coral,28
2005,LTER_1,Backreef,2,NA5,1,ctb,60
2005,LTER_1,Backreef,2,NA5,1,macroalgae,0
2005,LTER_1,Backreef,2,NA5,1,millepora,0
2005,LTER_1,Backreef,2,NA5,1,sand,12
2005,LTER_1,Backreef,2,NA5,2,coral,28
2005,LTER_1,Backreef,2,NA5,2,ctb,4
2005,LTER_1,Backreef,2,NA5,2,macroalgae,0
2005,LTER_1,Backreef,2,NA5,2,millepora,0
2005,LTER_1,Backreef,2,NA5,2,sand,68
2005,LTER_1,Backreef,2,NA5,3,coral,0
2005,LTER_1,Backreef,2,NA5,3,ctb,100
2005,LTER_1,Backreef,2,NA5,3,macroalgae,0
2005,LTER_1,Backreef,2,NA5,3,millepora,0
2005,LTER_1,Backreef,2,NA5,3,sand,0
2005,LTER_1,Backreef,2,NA5,4,coral,0
2005,LTER_1,Backreef,2,NA5,4,ctb,24
2005,LTER_1,Backreef,2,NA5,4,macroalgae,0
2005,LTER_1,Backreef,2,NA5,4,millepora,0
2005,LTER_1,Backreef,2,NA5,4,sand,76
2005,LTER_1,Backreef,2,NA5,5,coral,88
2005,LTER_1,Backreef,2,NA5,5,ctb,8
2005,LTER_1,Backreef,2,NA5,5,macroalgae,4
2005,LTER_1,Backreef,2,NA5,5,millepora,0
2005,LTER_1,Backreef,2,NA5,5,sand,0
2005,LTER_1,Backreef,2,NA6,1,coral,28
2005,LTER_1,Backreef,2,NA6,1,ctb,64
2005,LTER_1,Backreef,2,NA6,1,macroalgae,0
2005,LTER_1,Backreef,2,NA6,1,millepora,0
2005,LTER_1,Backreef,2,NA6,1,sand,8
2005,LTER_1,Backreef,2,NA6,2,coral,16
2005,LTER_1,Backreef,2,NA6,2,ctb,20
2005,LTER_1,Backreef,2,NA6,2,macroalgae,44
2005,LTER_1,Backreef,2,NA6,2,millepora,12
2005,LTER_1,Backreef,2,NA6,2,sand,8
2005,LTER_1,Backreef,2,NA6,3,coral,96
2005,LTER_1,Backreef,2,NA6,3,ctb,4
2005,LTER_1,Backreef,2,NA6,3,macroalgae,0
2005,LTER_1,Backreef,2,NA6,3,millepora,0
2005,LTER_1,Backreef,2,NA6,3,sand,0
2005,LTER_1,Backreef,2,NA6,4,coral,0
2005,LTER_1,Backreef,2,NA6,4,ctb,88
2005,LTER_1,Backreef,2,NA6,4,macroalgae,0
2005,LTER_1,Backreef,2,NA6,4,millepora,0
2005,LTER_1,Backreef,2,NA6,4,sand,12
2005,LTER_1,Backreef,2,NA6,5,coral,12
2005,LTER_1,Backreef,2,NA6,5,ctb,72
2005,LTER_1,Backreef,2,NA6,5,macroalgae,0
2005,LTER_1,Backreef,2,NA6,5,millepora,0
2005,LTER_1,Backreef,2,NA6,5,sand,16
2005,LTER_1,Backreef,2,NA7,1,coral,60
2005,LTER_1,Backreef,2,NA7,1,ctb,28
2005,LTER_1,Backreef,2,NA7,1,macroalgae,12
2005,LTER_1,Backreef,2,NA7,1,millepora,0
2005,LTER_1,Backreef,2,NA7,1,sand,0
2005,LTER_1,Backreef,2,NA7,2,coral,44
2005,LTER_1,Backreef,2,NA7,2,ctb,44
2005,LTER_1,Backreef,2,NA7,2,macroalgae,8
2005,LTER_1,Backreef,2,NA7,2,millepora,0
2005,LTER_1,Backreef,2,NA7,2,sand,4
2005,LTER_1,Backreef,2,NA7,3,coral,76
2005,LTER_1,Backreef,2,NA7,3,ctb,20
2005,LTER_1,Backreef,2,NA7,3,macroalgae,4
2005,LTER_1,Backreef,2,NA7,3,millepora,0
2005,LTER_1,Backreef,2,NA7,3,sand,0
2005,LTER_1,Backreef,2,NA7,4,coral,8
2005,LTER_1,Backreef,2,NA7,4,ctb,0
2005,LTER_1,Backreef,2,NA7,4,macroalgae,0
2005,LTER_1,Backreef,2,NA7,4,millepora,0
2005,LTER_1,Backreef,2,NA7,4,sand,92
2005,LTER_1,Backreef,2,NA7,5,coral,64
2005,LTER_1,Backreef,2,NA7,5,ctb,32
2005,LTER_1,Backreef,2,NA7,5,macroalgae,4
2005,LTER_1,Backreef,2,NA7,5,millepora,0
2005,LTER_1,Backreef,2,NA7,5,sand,0
2005,LTER_1,Backreef,2,NA8,1,coral,12
2005,LTER_1,Backreef,2,NA8,1,ctb,76
2005,LTER_1,Backreef,2,NA8,1,macroalgae,0
2005,LTER_1,Backreef,2,NA8,1,millepora,0
2005,LTER_1,Backreef,2,NA8,1,sand,12
2005,LTER_1,Backreef,2,NA8,2,coral,8
2005,LTER_1,Backreef,2,NA8,2,ctb,16
2005,LTER_1,Backreef,2,NA8,2,macroalgae,8
2005,LTER_1,Backreef,2,NA8,2,millepora,0
2005,LTER_1,Backreef,2,NA8,2,sand,68
2005,LTER_1,Backreef,2,NA8,3,coral,96
2005,LTER_1,Backreef,2,NA8,3,ctb,0
2005,LTER_1,Backreef,2,NA8,3,macroalgae,4
2005,LTER_1,Backreef,2,NA8,3,millepora,0
2005,LTER_1,Backreef,2,NA8,3,sand,0
2005,LTER_1,Backreef,2,NA8,4,coral,76
2005,LTER_1,Backreef,2,NA8,4,ctb,24
2005,LTER_1,Backreef,2,NA8,4,macroalgae,0
2005,LTER_1,Backreef,2,NA8,4,millepora,0
2005,LTER_1,Backreef,2,NA8,4,sand,0
2005,LTER_1,Backreef,2,NA8,5,coral,0
2005,LTER_1,Backreef,2,NA8,5,ctb,60
2005,LTER_1,Backreef,2,NA8,5,macroalgae,0
2005,LTER_1,Backreef,2,NA8,5,millepora,0
2005,LTER_1,Backreef,2,NA8,5,sand,40
2005,LTER_1,Backreef,2,NA9,1,coral,0
2005,LTER_1,Backreef,2,NA9,1,ctb,36
2005,LTER_1,Backreef,2,NA9,1,macroalgae,0
2005,LTER_1,Backreef,2,NA9,1,millepora,0
2005,LTER_1,Backreef,2,NA9,1,sand,64
2005,LTER_1,Backreef,2,NA9,2,coral,16
2005,LTER_1,Backreef,2,NA9,2,ctb,60
2005,LTER_1,Backreef,2,NA9,2,macroalgae,0
2005,LTER_1,Backreef,2,NA9,2,millepora,24
2005,LTER_1,Backreef,2,NA9,2,sand,0
2005,LTER_1,Backreef,2,NA9,3,coral,0
2005,LTER_1,Backreef,2,NA9,3,ctb,12
2005,LTER_1,Backreef,2,NA9,3,macroalgae,0
2005,LTER_1,Backreef,2,NA9,3,millepora,0
2005,LTER_1,Backreef,2,NA9,3,sand,88
2005,LTER_1,Backreef,2,NA9,4,coral,64
2005,LTER_1,Backreef,2,NA9,4,ctb,24
2005,LTER_1,Backreef,2,NA9,4,macroalgae,12
2005,LTER_1,Backreef,2,NA9,4,millepora,0
2005,LTER_1,Backreef,2,NA9,4,sand,0
2005,LTER_1,Backreef,2,NA9,5,coral,0
2005,LTER_1,Backreef,2,NA9,5,ctb,28
