year,site,habitat,depth,quad,patch,coral,macroalgae,sand,millepora,ctb,sub_squares,note
2005,LTER_1,Backreef,2,NA3,1,52,0,4,0,44,25,na
2005,LTER_1,Backreef,2,NA3,2,40,4,16,0,40,25,na
2005,LTER_1,Backreef,2,NA3,3,60,4,0,0,36,25,na
2005,LTER_1,Backreef,2,NA3,4,32,0,56,0,12,25,na
2005,LTER_1,Backreef,2,NA3,5,52,0,0,0,48,25,na
2005,LTER_1,Backreef,2,NA4,1,17,8,0,0,75,24,some sub squares omitted
2005,LTER_1,Backreef,2,NA4,2,76,8,4,0,12,25,na
2005,LTER_1,Backreef,2,NA4,3,48,0,0,0,52,25,na
2005,LTER_1,Backreef,2,NA4,4,4,0,52,0,44,25,na
2005,LTER_1,Backreef,2,NA4,5,100,0,0,0,0,25,na
2005,LTER_1,Backreef,2,NA5,1,28,0,12,0,60,25,na
2005,LTER_1,Backreef,2,NA5,2,28,0,68,0,4,25,na
2005,LTER_1,Backreef,2,NA5,3,0,0,0,0,100,25,na
2005,LTER_1,Backreef,2,NA5,4,0,0,76,0,24,25,na
2005,LTER_1,Backreef,2,NA5,5,88,4,0,0,8,25,na
2005,LTER_1,Backreef,2,NA6,1,28,0,8,0,64,25,na
2005,LTER_1,Backreef,2,NA6,2,16,44,8,12,20,25,na
2005,LTER_1,Backreef,2,NA6,3,96,0,0,0,4,25,na
2005,LTER_1,Backreef,2,NA6,4,0,0,12,0,88,25,na
2005,LTER_1,Backreef,2,NA6,5,12,0,16,0,72,25,na
2005,LTER_1,Backreef,2,NA7,1,60,12,0,0,28,25,na
2005,LTER_1,Backreef,2,NA7,2,44,8,4,0,44,25,na
2005,LTER_1,Backreef,2,NA7,3,76,4,0,0,20,25,na
2005,LTER_1,Backreef,2,NA7,4,8,0,92,0,0,25,na
2005,LTER_1,Backreef,2,NA7,5,64,4,0,0,32,25,na
2005,LTER_1,Backreef,2,NA8,1,12,0,12,0,76,25,na
2005,LTER_1,Backreef,2,NA8,2,8,8,68,0,16,25,na
2005,LTER_1,Backreef,2,NA8,3,96,4,0,0,0,25,na
2005,LTER_1,Backreef,2,NA8,4,76,0,0,0,24,25,na
2005,LTER_1,Backreef,2,NA8,5,0,0,40,0,60,25,na
2005,LTER_1,Backreef,2,NA9,1,0,0,64,0,36,25,na
2005,LTER_1,Backreef,2,NA9,2,16,0,0,24,60,25,na
2005,LTER_1,Backreef,2,NA9,3,0,0,88,0,12,25,na
2005,LTER_1,Backreef,2,NA9,4,64,12,0,0,24,25,na
2005,LTER_1,Backreef,2,NA9,5,0,0,72,0,28,25,na
2005,LTER_2,Backreef,2,E1,1,48,4,44,0,0,25,na
2005,LTER_2,Backreef,2,E1,2,0,84,16,0,0,25,na
2005,LTER_2,Backreef,2,E1,3,4,16,4,0,0,25,na
2005,LTER_2,Backreef,2,E2,1,16,4,0,0,0,25,na
2005,LTER_2,Backreef,2,E2,2,12,80,8,0,0,25,na
2005,LTER_2,Backreef,2,E2,3,72,4,0,0,0,25,na
2005,LTER_2,Backreef,2,E3,1,76,8,12,0,0,25,na
2005,LTER_2,Backreef,2,E3,2,20,64,8,0,0,25,na
2005,LTER_2,Backreef,2,E3,3,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,E4,1,0,0,12,0,0,25,na
2005,LTER_2,Backreef,2,E4,2,64,16,0,0,0,25,na
2005,LTER_2,Backreef,2,E4,3,0,0,0,0,0,25,na
2005,LTER_2,Backreef,2,E5,1,52,4,44,0,0,25,na
2005,LTER_2,Backreef,2,E5,2,0,56,44,0,0,25,na
2005,LTER_2,Backreef,2,E5,3,0,0,0,0,0,25,na
2005,LTER_2,Backreef,2,N1,1,0,0,88,0,0,25,na
2005,LTER_2,Backreef,2,N1,2,0,64,36,0,0,25,na
2005,LTER_2,Backreef,2,N1,3,36,28,4,0,0,25,na
2005,LTER_2,Backreef,2,N2,1,100,0,0,0,0,15,some sub squares omitted
2005,LTER_2,Backreef,2,N2,2,0,84,16,0,0,25,na
2005,LTER_2,Backreef,2,N2,3,0,60,0,0,0,25,na
2005,LTER_2,Backreef,2,N3,1,40,12,28,0,0,25,na
2005,LTER_2,Backreef,2,N3,2,40,52,8,0,0,25,na
2005,LTER_2,Backreef,2,N3,3,0,68,0,0,0,25,na
2005,LTER_2,Backreef,2,N4,1,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,N4,2,48,52,0,0,0,25,na
2005,LTER_2,Backreef,2,N4,3,16,4,0,0,0,25,na
2005,LTER_2,Backreef,2,N5,1,0,13,0,0,0,24,some sub squares omitted
2005,LTER_2,Backreef,2,N5,2,84,16,0,0,0,25,na
2005,LTER_2,Backreef,2,N5,3,0,0,32,0,0,25,na
2005,LTER_2,Backreef,2,NA1,4,8,0,4,0,88,25,na
2005,LTER_2,Backreef,2,NA1,5,40,0,0,0,60,25,na
2005,LTER_2,Backreef,2,NA10,4,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,NA10,5,76,12,0,0,12,25,na
2005,LTER_2,Backreef,2,NA11,4,8,0,0,0,92,25,na
2005,LTER_2,Backreef,2,NA11,5,40,8,0,0,52,25,na
2005,LTER_2,Backreef,2,NA12,4,44,0,0,0,56,25,na
2005,LTER_2,Backreef,2,NA12,5,36,8,8,0,48,25,na
2005,LTER_2,Backreef,2,NA13,4,40,0,56,0,4,25,na
2005,LTER_2,Backreef,2,NA13,5,8,4,28,0,60,25,na
2005,LTER_2,Backreef,2,NA14,4,96,4,0,0,0,25,na
2005,LTER_2,Backreef,2,NA14,5,4,8,24,0,64,25,na
2005,LTER_2,Backreef,2,NA15,4,24,0,0,0,76,25,na
2005,LTER_2,Backreef,2,NA15,5,8,4,36,0,52,25,na
2005,LTER_2,Backreef,2,NA16,4,48,0,48,0,4,25,na
2005,LTER_2,Backreef,2,NA16,5,16,0,0,0,84,25,na
2005,LTER_2,Backreef,2,NA17,4,40,4,24,0,32,25,na
2005,LTER_2,Backreef,2,NA17,5,20,4,28,0,48,25,na
2005,LTER_2,Backreef,2,NA18,4,80,4,16,0,0,25,na
2005,LTER_2,Backreef,2,NA18,5,0,0,48,0,52,25,na
2005,LTER_2,Backreef,2,NA19,4,88,8,0,0,4,25,na
2005,LTER_2,Backreef,2,NA19,5,0,0,28,0,72,25,na
2005,LTER_2,Backreef,2,NA2,4,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,NA2,5,60,8,0,0,32,25,na
2005,LTER_2,Backreef,2,NA20,4,28,0,4,0,68,25,na
2005,LTER_2,Backreef,2,NA20,5,0,0,60,0,40,25,na
2005,LTER_2,Backreef,2,NA3,4,4,0,96,0,0,25,na
2005,LTER_2,Backreef,2,NA3,5,16,0,68,0,16,25,na
2005,LTER_2,Backreef,2,NA4,4,48,0,52,0,0,25,na
2005,LTER_2,Backreef,2,NA4,5,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,NA5,4,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,NA5,5,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,NA6,4,20,0,4,0,76,25,na
2005,LTER_2,Backreef,2,NA6,5,0,0,0,0,100,25,na
2005,LTER_2,Backreef,2,NA7,4,20,0,0,0,80,25,na
2005,LTER_2,Backreef,2,NA7,5,8,0,0,0,92,25,na
2005,LTER_2,Backreef,2,NA8,4,12,0,88,0,0,25,na
2005,LTER_2,Backreef,2,NA8,5,4,12,0,0,84,25,na
2005,LTER_2,Backreef,2,NA9,4,8,0,92,0,0,25,na
2005,LTER_2,Backreef,2,NA9,5,28,40,0,0,32,25,na
2005,LTER_2,Backreef,2,S1,1,0,12,12,0,0,25,na
2005,LTER_2,Backreef,2,S1,2,16,64,16,0,0,25,na
2005,LTER_2,Backreef,2,S1,3,24,28,0,0,0,25,na
2005,LTER_2,Backreef,2,S2,1,4,0,4,0,0,25,na
2005,LTER_2,Backreef,2,S2,2,12,76,12,0,0,25,na
2005,LTER_2,Backreef,2,S2,3,36,36,4,0,0,25,na
2005,LTER_2,Backreef,2,S3,1,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,S3,2,0,0,100,0,0,25,na
2005,LTER_2,Backreef,2,S3,3,0,0,60,0,0,25,na
2005,LTER_2,Backreef,2,S4,1,59,6,18,0,0,17,some sub squares omitted
2005,LTER_2,Backreef,2,S4,2,0,8,92,0,0,25,na
2005,LTER_2,Backreef,2,S4,3,0,5,0,0,0,22,some sub squares omitted
2005,LTER_2,Backreef,2,S5,1,32,36,12,0,0,25,na
2005,LTER_2,Backreef,2,S5,2,0,28,72,0,0,25,na
2005,LTER_2,Backreef,2,S5,3,4,8,0,0,0,24,some sub squares omitted
2005,LTER_2,Backreef,2,W1,1,40,44,0,0,0,25,na
2005,LTER_2,Backreef,2,W1,2,8,88,0,0,0,25,na
2005,LTER_2,Backreef,2,W1,3,12,0,8,0,0,25,na
2005,LTER_2,Backreef,2,W2,1,12,16,4,0,0,25,na
2005,LTER_2,Backreef,2,W2,2,4,48,0,0,0,25,na
2005,LTER_2,Backreef,2,W2,3,12,0,0,0,0,25,na
2005,LTER_2,Backreef,2,W3,1,0,0,72,0,0,25,na
2005,LTER_2,Backreef,2,W3,2,56,24,16,0,0,25,na
2005,LTER_2,Backreef,2,W3,3,8,8,60,0,0,25,na
2005,LTER_2,Backreef,2,W4,1,0,0,52,0,0,25,na
2005,LTER_2,Backreef,2,W4,2,12,80,8,0,0,25,na
2005,LTER_2,Backreef,2,W4,3,36,8,12,0,0,25,na
2005,LTER_2,Backreef,2,W5,1,0,0,28,0,0,25,na
2005,LTER_2,Backreef,2,W5,2,0,56,44,0,0,25,na
2005,LTER_2,Backreef,2,W5,3,64,0,4,0,0,25,na
2005,LTER_3,Backreef,2,E1,5,0,0,0,0,0,25,na
2005,LTER_3,Backreef,2,E2,5,36,0,0,0,0,25,na
2005,LTER_3,Backreef,2,E3,5,48,0,0,0,0,25,na
2005,LTER_3,Backreef,2,E4,5,16,0,44,0,0,25,na
2005,LTER_3,Backreef,2,E5,5,8,0,0,0,0,25,na
2005,LTER_3,Backreef,2,N1,5,52,0,0,0,0,25,na
2005,LTER_3,Backreef,2,N2,5,32,0,44,0,0,25,na
2005,LTER_3,Backreef,2,N3,5,52,0,16,0,0,25,na
2005,LTER_3,Backreef,2,N4,5,44,0,24,0,0,25,na
2005,LTER_3,Backreef,2,N5,5,0,0,64,0,0,25,na
2005,LTER_3,Backreef,2,NA1,1,16,0,12,0,72,25,na
2005,LTER_3,Backreef,2,NA1,2,28,0,44,0,28,25,na
2005,LTER_3,Backreef,2,NA1,3,28,0,12,0,60,25,na
2005,LTER_3,Backreef,2,NA1,4,64,0,4,0,32,25,na
2005,LTER_3,Backreef,2,NA10,1,80,0,8,0,12,25,na
2005,LTER_3,Backreef,2,NA10,2,52,0,12,0,36,25,na
2005,LTER_3,Backreef,2,NA10,3,32,0,24,0,44,25,na
2005,LTER_3,Backreef,2,NA10,4,0,0,100,0,0,25,na
2005,LTER_3,Backreef,2,NA11,1,48,0,20,0,32,25,na
2005,LTER_3,Backreef,2,NA11,2,56,0,8,0,36,25,na
2005,LTER_3,Backreef,2,NA11,3,52,0,0,0,48,25,na
2005,LTER_3,Backreef,2,NA11,4,48,0,4,0,48,25,na
2005,LTER_3,Backreef,2,NA12,1,12,0,0,0,88,25,na
2005,LTER_3,Backreef,2,NA12,2,52,0,0,0,48,25,na
2005,LTER_3,Backreef,2,NA12,3,32,0,0,0,68,25,na
2005,LTER_3,Backreef,2,NA12,4,80,0,20,0,0,25,na
2005,LTER_3,Backreef,2,NA13,1,36,0,8,0,56,25,na
2005,LTER_3,Backreef,2,NA13,2,72,0,0,0,28,25,na
2005,LTER_3,Backreef,2,NA13,3,20,0,0,0,80,25,na
2005,LTER_3,Backreef,2,NA13,4,8,0,92,0,0,25,na
2005,LTER_3,Backreef,2,NA14,1,76,0,0,0,24,25,na
2005,LTER_3,Backreef,2,NA14,2,44,0,36,0,20,25,na
2005,LTER_3,Backreef,2,NA14,3,28,0,16,0,56,25,na
2005,LTER_3,Backreef,2,NA14,4,0,0,48,0,52,25,na
2005,LTER_3,Backreef,2,NA15,1,40,4,0,0,56,25,na
2005,LTER_3,Backreef,2,NA15,2,44,0,0,0,56,25,na
2005,LTER_3,Backreef,2,NA15,3,24,0,40,0,36,25,na
2005,LTER_3,Backreef,2,NA15,4,44,0,0,0,56,25,na
2005,LTER_3,Backreef,2,NA16,1,16,0,84,0,0,25,na
2005,LTER_3,Backreef,2,NA16,2,32,0,0,0,68,25,na
2005,LTER_3,Backreef,2,NA16,3,72,0,4,0,24,25,na
2005,LTER_3,Backreef,2,NA16,4,16,0,0,0,84,25,na
2005,LTER_3,Backreef,2,NA17,1,24,0,60,0,16,25,na
2005,LTER_3,Backreef,2,NA17,2,40,0,12,0,48,25,na
2005,LTER_3,Backreef,2,NA17,3,24,0,0,0,76,25,na
2005,LTER_3,Backreef,2,NA17,4,48,4,0,0,48,25,na
2005,LTER_3,Backreef,2,NA18,1,60,0,0,0,40,25,na
2005,LTER_3,Backreef,2,NA18,2,12,4,0,0,84,25,na
2005,LTER_3,Backreef,2,NA18,3,28,0,4,0,68,25,na
2005,LTER_3,Backreef,2,NA18,4,0,0,88,0,12,25,na
2005,LTER_3,Backreef,2,NA19,1,24,0,0,0,76,25,na
2005,LTER_3,Backreef,2,NA19,2,0,0,88,0,12,25,na
2005,LTER_3,Backreef,2,NA19,3,60,0,0,0,40,25,na
2005,LTER_3,Backreef,2,NA19,4,80,0,20,0,0,25,na
2005,LTER_3,Backreef,2,NA2,1,12,0,40,0,48,25,na
2005,LTER_3,Backreef,2,NA2,2,0,0,100,0,0,25,na
2005,LTER_3,Backreef,2,NA2,3,56,0,0,0,44,25,na
2005,LTER_3,Backreef,2,NA2,4,0,0,67,0,33,24,some sub squares omitted
2005,LTER_3,Backreef,2,NA20,1,84,0,4,0,12,25,na
2005,LTER_3,Backreef,2,NA20,2,0,0,0,0,100,25,na
2005,LTER_3,Backreef,2,NA20,3,20,4,56,0,20,25,na
2005,LTER_3,Backreef,2,NA20,4,40,0,28,0,32,25,na
2005,LTER_3,Backreef,2,NA3,1,0,4,96,0,0,25,na
2005,LTER_3,Backreef,2,NA3,2,20,0,72,0,8,25,na
2005,LTER_3,Backreef,2,NA3,3,8,0,0,0,92,25,na
2005,LTER_3,Backreef,2,NA3,4,40,0,20,0,40,25,na
2005,LTER_3,Backreef,2,NA4,1,0,0,100,0,0,25,na
2005,LTER_3,Backreef,2,NA4,2,8,0,32,0,60,25,na
2005,LTER_3,Backreef,2,NA4,3,0,0,0,0,100,25,na
2005,LTER_3,Backreef,2,NA4,4,32,0,40,0,28,25,na
2005,LTER_3,Backreef,2,NA5,1,48,4,0,0,48,25,na
2005,LTER_3,Backreef,2,NA5,2,0,0,80,0,20,25,na
2005,LTER_3,Backreef,2,NA5,3,0,0,0,0,100,25,na
2005,LTER_3,Backreef,2,NA5,4,0,0,100,0,0,25,na
2005,LTER_3,Backreef,2,NA6,1,0,0,4,0,96,25,na
2005,LTER_3,Backreef,2,NA6,2,16,0,4,0,80,25,na
2005,LTER_3,Backreef,2,NA6,3,72,4,0,0,24,25,na
2005,LTER_3,Backreef,2,NA6,4,44,0,4,0,52,25,na
2005,LTER_3,Backreef,2,NA7,1,44,0,0,0,56,25,na
2005,LTER_3,Backreef,2,NA7,2,20,0,16,0,64,25,na
2005,LTER_3,Backreef,2,NA7,3,48,0,0,0,52,25,na
2005,LTER_3,Backreef,2,NA7,4,36,0,44,0,20,25,na
2005,LTER_3,Backreef,2,NA8,1,12,0,24,0,64,25,na
2005,LTER_3,Backreef,2,NA8,2,48,0,8,0,44,25,na
2005,LTER_3,Backreef,2,NA8,3,56,0,12,0,32,25,na
2005,LTER_3,Backreef,2,NA8,4,20,0,0,0,80,25,na
2005,LTER_3,Backreef,2,NA9,1,16,0,0,0,84,25,na
2005,LTER_3,Backreef,2,NA9,2,60,0,28,0,12,25,na
2005,LTER_3,Backreef,2,NA9,3,36,0,0,0,64,25,na
2005,LTER_3,Backreef,2,NA9,4,4,0,0,0,96,25,na
2005,LTER_3,Backreef,2,S1,5,36,0,0,0,0,25,na
2005,LTER_3,Backreef,2,S2,5,56,0,36,0,0,25,na
2005,LTER_3,Backreef,2,S3,5,68,0,8,0,0,25,na
2005,LTER_3,Backreef,2,S4,5,32,0,68,0,0,25,na
2005,LTER_3,Backreef,2,S5,5,0,0,100,0,0,25,na
2005,LTER_3,Backreef,2,W1,5,32,0,36,0,0,25,na
2005,LTER_3,Backreef,2,W2,5,20,0,20,0,0,25,na
2005,LTER_3,Backreef,2,W3,5,88,0,0,0,0,25,na
2005,LTER_3,Backreef,2,W4,5,48,0,0,0,0,25,na
2005,LTER_3,Backreef,2,W5,5,64,0,4,0,0,25,na
2005,LTER_4,Backreef,2,NA1,1,52,0,0,0,48,25,na
2005,LTER_4,Backreef,2,NA1,2,52,0,32,0,16,25,na
2005,LTER_4,Backreef,2,NA1,3,24,0,0,0,76,25,na
2005,LTER_4,Backreef,2,NA1,4,88,0,8,0,4,25,na
2005,LTER_4,Backreef,2,NA1,5,32,0,0,0,68,25,na
2005,LTER_4,Backreef,2,NA10,1,4,0,24,0,72,25,na
2005,LTER_4,Backreef,2,NA10,2,96,0,4,0,0,25,na
2005,LTER_4,Backreef,2,NA10,3,20,0,0,0,80,25,na
2005,LTER_4,Backreef,2,NA10,4,20,0,28,0,52,25,na
2005,LTER_4,Backreef,2,NA10,5,80,0,0,0,20,25,na
2005,LTER_4,Backreef,2,NA11,1,44,0,0,0,56,25,na
2005,LTER_4,Backreef,2,NA11,2,92,0,4,0,4,25,na
2005,LTER_4,Backreef,2,NA11,3,60,0,4,0,36,25,na
2005,LTER_4,Backreef,2,NA11,4,60,0,4,0,36,25,na
2005,LTER_4,Backreef,2,NA11,5,64,0,0,0,36,25,na
2005,LTER_4,Backreef,2,NA12,1,84,0,0,0,16,25,na
2005,LTER_4,Backreef,2,NA12,2,4,0,76,0,20,25,na
2005,LTER_4,Backreef,2,NA12,3,88,0,0,0,12,25,na
2005,LTER_4,Backreef,2,NA12,4,63,0,0,0,38,24,some sub squares omitted
2005,LTER_4,Backreef,2,NA12,5,96,0,4,0,0,25,na
2005,LTER_4,Backreef,2,NA13,1,32,0,44,0,24,25,na
2005,LTER_4,Backreef,2,NA13,2,24,0,0,0,76,25,na
2005,LTER_4,Backreef,2,NA13,3,44,0,56,0,0,25,na
2005,LTER_4,Backreef,2,NA13,4,32,0,60,0,8,25,na
2005,LTER_4,Backreef,2,NA13,5,20,0,4,0,76,25,na
2005,LTER_4,Backreef,2,NA14,1,0,0,100,0,0,25,na
2005,LTER_4,Backreef,2,NA14,2,56,0,0,0,44,25,na
2005,LTER_4,Backreef,2,NA14,3,44,0,56,0,0,25,na
2005,LTER_4,Backreef,2,NA14,4,0,0,100,0,0,25,na
2005,LTER_4,Backreef,2,NA14,5,0,0,0,0,100,25,na
2005,LTER_4,Backreef,2,NA15,1,0,0,96,0,4,25,na
2005,LTER_4,Backreef,2,NA15,2,16,0,0,0,84,25,na
2005,LTER_4,Backreef,2,NA15,3,20,0,64,0,16,25,na
2005,LTER_4,Backreef,2,NA15,4,36,0,64,0,0,25,na
2005,LTER_4,Backreef,2,NA15,5,44,0,0,0,56,25,na
2005,LTER_4,Backreef,2,NA16,1,36,0,64,0,0,25,na
2005,LTER_4,Backreef,2,NA16,2,64,0,4,0,32,25,na
2005,LTER_4,Backreef,2,NA16,3,84,0,4,0,12,25,na
2005,LTER_4,Backreef,2,NA16,4,48,0,16,0,36,25,na
2005,LTER_4,Backreef,2,NA16,5,88,0,0,0,12,25,na
2005,LTER_4,Backreef,2,NA17,1,0,0,60,0,40,25,na
2005,LTER_4,Backreef,2,NA17,2,100,0,0,0,0,25,na
2005,LTER_4,Backreef,2,NA17,3,52,0,48,0,0,25,na
2005,LTER_4,Backreef,2,NA17,4,76,0,20,0,4,25,na
2005,LTER_4,Backreef,2,NA17,5,48,4,16,0,32,25,na
2005,LTER_4,Backreef,2,NA18,1,56,0,4,0,40,25,na
2005,LTER_4,Backreef,2,NA18,2,88,0,0,0,12,25,na
2005,LTER_4,Backreef,2,NA18,3,52,0,48,0,0,25,na
2005,LTER_4,Backreef,2,NA18,4,16,0,76,0,8,25,na
2005,LTER_4,Backreef,2,NA18,5,0,0,100,0,0,25,na
2005,LTER_4,Backreef,2,NA19,1,44,0,52,0,4,25,na
2005,LTER_4,Backreef,2,NA19,2,60,0,0,0,40,25,na
2005,LTER_4,Backreef,2,NA19,3,40,0,56,0,4,25,na
2005,LTER_4,Backreef,2,NA19,4,0,0,8,0,92,25,na
2005,LTER_4,Backreef,2,NA19,5,8,0,0,0,92,25,na
2005,LTER_4,Backreef,2,NA2,1,64,0,8,0,28,25,na
2005,LTER_4,Backreef,2,NA2,2,0,0,40,0,60,25,na
2005,LTER_4,Backreef,2,NA2,3,64,0,4,0,32,25,na
2005,LTER_4,Backreef,2,NA2,4,48,0,32,0,20,25,na
2005,LTER_4,Backreef,2,NA2,5,72,0,0,0,28,25,na
2005,LTER_4,Backreef,2,NA20,1,8,0,12,0,80,25,na
2005,LTER_4,Backreef,2,NA20,2,48,0,16,0,36,25,na
2005,LTER_4,Backreef,2,NA20,3,48,0,52,0,0,25,na
2005,LTER_4,Backreef,2,NA20,4,0,0,0,0,100,25,na
2005,LTER_4,Backreef,2,NA20,5,28,0,0,0,72,25,na
2005,LTER_4,Backreef,2,NA3,1,40,0,16,0,44,25,na
2005,LTER_4,Backreef,2,NA3,2,24,0,0,0,76,25,na
2005,LTER_4,Backreef,2,NA3,3,48,0,0,0,52,25,na
2005,LTER_4,Backreef,2,NA3,4,24,0,44,0,32,25,na
2005,LTER_4,Backreef,2,NA3,5,24,0,0,0,76,25,na
2005,LTER_4,Backreef,2,NA4,1,48,0,4,0,48,25,na
2005,LTER_4,Backreef,2,NA4,2,44,0,32,0,24,25,na
2005,LTER_4,Backreef,2,NA4,3,88,0,4,0,8,25,na
2005,LTER_4,Backreef,2,NA4,4,0,0,28,0,72,25,na
2005,LTER_4,Backreef,2,NA4,5,48,0,16,0,36,25,na
2005,LTER_4,Backreef,2,NA5,1,40,0,24,0,36,25,na
2005,LTER_4,Backreef,2,NA5,2,52,0,0,0,48,25,na
2005,LTER_4,Backreef,2,NA5,3,48,0,0,0,52,25,na
2005,LTER_4,Backreef,2,NA5,4,0,0,100,0,0,25,na
2005,LTER_4,Backreef,2,NA5,5,8,0,0,0,92,25,na
2005,LTER_4,Backreef,2,NA6,1,32,0,40,0,28,25,na
2005,LTER_4,Backreef,2,NA6,2,48,0,0,0,52,25,na
2005,LTER_4,Backreef,2,NA6,3,48,0,0,0,52,25,na
2005,LTER_4,Backreef,2,NA6,4,44,0,12,0,44,25,na
2005,LTER_4,Backreef,2,NA6,5,40,0,0,0,60,25,na
2005,LTER_4,Backreef,2,NA7,1,64,0,16,0,20,25,na
