Year,Site,Habitat,Genus,Dry_Weight,C,H,N,CN_ratio,Comment
2005,LTER_1,Reefcrest,Sargassum,2289,32.55,4.83,1.07,30.47,NA
2005,LTER_1,Reefcrest,Sargassum,2376,34.52,5.11,1.05,32.88,NA
2005,LTER_1,Reefcrest,Sargassum,2152,29.02,4.26,0.93,31.3,NA
2005,LTER_2,Backreef,Sargassum,2214,35.96,5.51,1.09,33.05,NA
2005,LTER_2,Backreef,Sargassum,2390,30.66,4.44,1.05,29.1,NA
2005,LTER_2,Backreef,Sargassum,2481,32.37,4.93,0.87,37.35,NA
2005,LTER_2,Backreef,Sargassum,2312,36.15,5.59,0.93,39.09,NA
2005,LTER_2,Backreef,Sargassum,2186,35.5,5.5,0.99,35.88,NA
2005,LTER_2,Backreef,Sargassum,2122,38.11,5.94,1,38.05,NA
2005,LTER_2,Backreef,Sargassum,2398,32.53,4.88,0.99,32.84,NA
2005,LTER_2,Backreef,Sargassum,2254,34.31,5.2,1.23,27.99,NA
2005,LTER_2,Backreef,Sargassum,2024,40.11,6.45,1.15,34.91,NA
2005,LTER_2,Reefcrest,Sargassum,2209,38.34,6.06,0.75,51.32,NA
2005,LTER_2,Reefcrest,Sargassum,2336,36.44,5.6,0.68,53.62,NA
2005,LTER_2,Reefcrest,Sargassum,2213,39.52,6.37,0.76,51.82,NA
2005,LTER_2,Reefcrest,Sargassum,2488,38.65,6.1,0.71,54.55,NA
2005,LTER_2,Reefcrest,Sargassum,2256,39.28,6.39,0.67,58.58,NA
2005,LTER_2,Reefcrest,Sargassum,2283,38.87,6.4,0.77,50.71,NA
2005,LTER_2,Reefcrest,Sargassum,2202,37.57,5.98,1.06,35.39,NA
2005,LTER_2,Reefcrest,Sargassum,2426,38.41,6.15,0.88,43.84,NA
2005,LTER_2,Reefcrest,Sargassum,2431,37.11,5.87,0.76,48.75,NA
2005,LTER_2,Reefcrest,Sargassum,2299,37.78,6,0.72,52.24,NA
2005,LTER_4,Backreef,Sargassum,2334,36.97,5.48,0.61,60.18,NA
2005,LTER_4,Backreef,Sargassum,2303,35.21,5.21,0.89,39.49,NA
2005,LTER_4,Backreef,Sargassum,2464,34.37,4.91,0.75,45.85,NA
2005,LTER_4,Backreef,Sargassum,2020,34.1,4.76,0.78,43.61,NA
2005,LTER_4,Backreef,Sargassum,2439,33.82,4.73,0.79,42.7,NA
2005,LTER_4,Backreef,Sargassum,2040,36.79,5.23,0.78,47.15,NA
2005,LTER_4,Backreef,Sargassum,2281,37.06,5.32,0.81,45.77,NA
2005,LTER_4,Backreef,Sargassum,2065,34.28,4.84,0.85,40.18,NA
2005,LTER_4,Backreef,Sargassum,2023,38.93,5.73,0.93,41.82,NA
2005,LTER_4,Backreef,Sargassum,2361,36.81,5.27,0.91,40.64,NA
2005,LTER_5,Backreef,Sargassum,2107,36.45,5.2,0.91,40,NA
2005,LTER_5,Backreef,Sargassum,2179,34.7,4.8,0.82,42.33,NA
2005,LTER_5,Backreef,Sargassum,2291,34.39,4.85,0.88,39.07,NA
2005,LTER_5,Backreef,Sargassum,2457,28.23,3.62,1.07,26.43,NA
2005,LTER_5,Backreef,Sargassum,2020,36.12,4.96,0.99,36.62,NA
2005,LTER_5,Backreef,Sargassum,2473,36.17,4.95,1,36.09,NA
2005,LTER_5,Backreef,Sargassum,2051,40.77,7.05,0.76,53.48,NA
2005,LTER_5,Backreef,Sargassum,2226,31.7,4.64,0.92,34.38,NA
2005,LTER_5,Backreef,Sargassum,2479,34.57,5.49,0.91,37.92,NA
2005,LTER_5,Backreef,Sargassum,2012,35.84,5.55,0.98,36.44,NA
2005,LTER_6,Backreef,Sargassum,2203,38.48,6.04,0.75,51.02,NA
2005,LTER_6,Backreef,Sargassum,2026,38.36,6.11,0.64,60.03,NA
2005,LTER_6,Backreef,Sargassum,2221,38.84,6.17,0.77,50.45,NA
2005,LTER_6,Backreef,Sargassum,2467,38.94,6.11,0.8,48.85,NA
2005,LTER_6,Backreef,Sargassum,2147,32.6,4.78,0.81,40.07,NA
2005,LTER_6,Backreef,Sargassum,2282,38.18,5.92,0.71,53.63,NA
2005,LTER_6,Backreef,Sargassum,2163,38.42,6.1,0.9,42.78,NA
2005,LTER_6,Backreef,Sargassum,2416,38.62,6.03,0.77,50.26,NA
2005,LTER_6,Backreef,Sargassum,2111,36.12,5.67,0.74,48.77,NA
2005,LTER_6,Backreef,Sargassum,2440,34.73,5.35,0.94,36.91,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,23.46,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,22.83,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,24.19,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,25.83,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,18.48,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,16.07,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,28.03,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,23.31,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,27.15,NA
2006,LTER_1,Backreef,Sargassum,NA,NA,NA,NA,25.75,NA
2006,LTER_1,Backreef,Turbinaria,NA,NA,NA,NA,32.23,NA
2006,LTER_1,Backreef,Turbinaria,NA,NA,NA,NA,35.87,NA
2006,LTER_1,Backreef,Turbinaria,NA,NA,NA,NA,33.21,NA
2006,LTER_1,Backreef,Turbinaria,NA,NA,NA,NA,36.53,NA
2006,LTER_1,Backreef,Turbinaria,NA,NA,NA,NA,33.56,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,18.77,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,19.22,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,16.34,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,18.66,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,18.7,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,16.02,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,16.46,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,16.66,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,17.62,NA
2006,LTER_1,Fringing,Sargassum,NA,NA,NA,NA,18.5,NA
2006,LTER_1,Fringing,Turbinaria,NA,NA,NA,NA,34.27,NA
2006,LTER_1,Fringing,Turbinaria,NA,NA,NA,NA,35.42,NA
2006,LTER_1,Fringing,Turbinaria,NA,NA,NA,NA,36.64,NA
2006,LTER_1,Fringing,Turbinaria,NA,NA,NA,NA,34.8,NA
2006,LTER_1,Fringing,Turbinaria,NA,NA,NA,NA,34.69,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,23.3,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,27.3,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,27.02,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,21.58,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,27.6,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,27.99,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,24.49,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,17.95,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,27.1,NA
2006,LTER_1,Reefcrest,Sargassum,NA,NA,NA,NA,24.12,NA
2006,LTER_1,Reefcrest,Turbinaria,NA,NA,NA,NA,29.12,NA
2006,LTER_1,Reefcrest,Turbinaria,NA,NA,NA,NA,27.29,NA
2006,LTER_1,Reefcrest,Turbinaria,NA,NA,NA,NA,26.4,NA
2006,LTER_1,Reefcrest,Turbinaria,NA,NA,NA,NA,33.36,NA
2006,LTER_1,Reefcrest,Turbinaria,NA,NA,NA,NA,36.04,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,20.16,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,22.85,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,24.97,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,22.45,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,24.31,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,22.41,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,27.44,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,26.53,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,23.87,NA
2006,LTER_2,Reefcrest,Sargassum,NA,NA,NA,NA,25.68,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,30.01,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,30.59,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,32.51,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,31.79,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,34.74,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,29.58,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,36.92,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,40.39,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,38.03,NA
2006,LTER_3,Reefcrest,Sargassum,NA,NA,NA,NA,42.09,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,42.04,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,37.14,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,33.31,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,36.8,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,25.2,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,26.07,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,33.22,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,24.15,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,25.32,NA
2006,LTER_4,Reefcrest,Sargassum,NA,NA,NA,NA,30.32,NA
2006,LTER_5,Backreef,Turbinaria,NA,NA,NA,NA,31.15,NA
2006,LTER_5,Backreef,Turbinaria,NA,NA,NA,NA,35.38,NA
2006,LTER_5,Backreef,Turbinaria,NA,NA,NA,NA,34.77,NA
2006,LTER_5,Backreef,Turbinaria,NA,NA,NA,NA,35.51,NA
2006,LTER_5,Backreef,Turbinaria,NA,NA,NA,NA,27.73,NA
2006,LTER_5,Fringing,Turbinaria,NA,NA,NA,NA,34.89,NA
2006,LTER_5,Fringing,Turbinaria,NA,NA,NA,NA,29.01,NA
2006,LTER_5,Fringing,Turbinaria,NA,NA,NA,NA,31.51,NA
2006,LTER_5,Fringing,Turbinaria,NA,NA,NA,NA,37.07,NA
2006,LTER_5,Fringing,Turbinaria,NA,NA,NA,NA,28.53,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,28.88,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,25.68,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,26.41,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,28.65,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,24.56,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,25.7,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,26.67,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,24.07,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,21.31,NA
2006,LTER_5,Reefcrest,Sargassum,NA,NA,NA,NA,25.37,NA
2006,LTER_5,Reefcrest,Turbinaria,NA,NA,NA,NA,35.72,NA
2006,LTER_5,Reefcrest,Turbinaria,NA,NA,NA,NA,34.75,NA
2006,LTER_5,Reefcrest,Turbinaria,NA,NA,NA,NA,29.79,NA
2006,LTER_5,Reefcrest,Turbinaria,NA,NA,NA,NA,34.49,NA
2006,LTER_5,Reefcrest,Turbinaria,NA,NA,NA,NA,33.52,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,30.73,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,26.3,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,24.04,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,26.1,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,23.19,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,23.39,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,25.82,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,24.99,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,28.67,NA
2006,LTER_6,Reefcrest,Sargassum,NA,NA,NA,NA,30.55,NA
2007,LTER_1,Backreef,Turbinaria,2110,32.23,4.26,1.18,27.33,NA
2007,LTER_1,Backreef,Turbinaria,2280,30.96,4.1,1.07,29.06,NA
2007,LTER_1,Backreef,Turbinaria,2149,31.56,4.07,0.95,33.28,NA
2007,LTER_1,Backreef,Turbinaria,2317,31.92,4.06,1.08,29.45,NA
2007,LTER_1,Backreef,Turbinaria,2151,29.82,3.83,1.03,29.11,NA
2007,LTER_1,Backreef,Turbinaria,2242,32.05,4.18,0.9,35.47,NA
2007,LTER_1,Backreef,Turbinaria,2296,28.61,3.7,1.13,25.31,NA
2007,LTER_1,Backreef,Turbinaria,2275,30.2,3.93,1.09,27.62,NA
2007,LTER_1,Backreef,Turbinaria,2354,29.91,3.86,0.77,39.09,NA
2007,LTER_1,Backreef,Turbinaria,2216,27.46,3.46,0.76,36.19,NA
2007,LTER_1,Fringing,Turbinaria,2117,29.02,3.71,1.05,27.7,NA
2007,LTER_1,Fringing,Turbinaria,2181,30,3.79,1.04,28.87,NA
2007,LTER_1,Fringing,Turbinaria,2196,28.56,3.61,1.15,24.92,NA
2007,LTER_1,Fringing,Turbinaria,2092,29.83,3.78,1.14,26.29,NA
2007,LTER_1,Fringing,Turbinaria,2241,29.69,3.84,0.65,46.03,NA
2007,LTER_1,Fringing,Turbinaria,2334,26.81,3.51,0.8,33.63,NA
2007,LTER_1,Fringing,Turbinaria,2288,29.22,3.78,0.91,32.24,NA
2007,LTER_1,Fringing,Turbinaria,2462,28.26,3.69,0.92,30.59,NA
2007,LTER_1,Fringing,Turbinaria,2252,27.43,3.64,0.78,34.99,NA
2007,LTER_1,Fringing,Turbinaria,2226,27.92,3.68,0.77,36.42,NA
2007,LTER_1,Reefcrest,Sargassum,2350,32.47,4.34,0.96,33.76,NA
2007,LTER_1,Reefcrest,Sargassum,2324,32.88,4.22,1.23,26.85,NA
2007,LTER_1,Reefcrest,Sargassum,2132,31.94,4,1.14,28.01,NA
2007,LTER_1,Reefcrest,Sargassum,2165,36.5,5.04,0.94,38.74,NA
2007,LTER_1,Reefcrest,Sargassum,2274,33.49,4.48,1.4,23.89,NA
2007,LTER_1,Reefcrest,Sargassum,2095,34.8,4.74,1.3,26.88,NA
2007,LTER_1,Reefcrest,Sargassum,2081,33.73,4.34,1.15,29.33,NA
2007,LTER_1,Reefcrest,Sargassum,2326,35.07,4.74,1.01,34.61,NA
2007,LTER_1,Reefcrest,Sargassum,2240,33.38,4.36,1.34,24.86,NA
2007,LTER_1,Reefcrest,Turbinaria,2411,29.76,3.91,0.74,40.11,NA
2007,LTER_1,Reefcrest,Turbinaria,2103,29.39,3.75,0.7,41.79,NA
2007,LTER_1,Reefcrest,Turbinaria,2173,31.99,4.21,0.71,44.83,NA
2007,LTER_1,Reefcrest,Turbinaria,2117,30.07,3.82,0.73,41.38,NA
2007,LTER_1,Reefcrest,Turbinaria,2266,27.91,3.56,0.76,36.82,NA
2007,LTER_1,Reefcrest,Turbinaria,2182,29.31,3.7,0.71,41.25,NA
2007,LTER_1,Reefcrest,Turbinaria,2313,30.66,3.89,0.76,40.17,NA
2007,LTER_1,Reefcrest,Turbinaria,2180,30.49,3.9,0.7,43.88,NA
2007,LTER_1,Reefcrest,Turbinaria,2340,30.44,3.99,0.67,45.59,NA
2007,LTER_1,Reefcrest,Turbinaria,2424,30.14,3.85,0.73,41.39,NA
2007,LTER_2,Backreef,Turbinaria,2370,29.69,3.85,0.65,45.46,NA
2007,LTER_2,Backreef,Turbinaria,2201,27.75,3.52,0.59,47.07,NA
2007,LTER_2,Backreef,Turbinaria,2087,29.19,3.62,0.75,39.06,NA
2007,LTER_2,Backreef,Turbinaria,2192,27.46,3.41,0.69,39.81,NA
2007,LTER_2,Backreef,Turbinaria,2267,29.08,3.74,0.68,42.6,NA
2007,LTER_2,Backreef,Turbinaria,2097,27.83,3.43,0.87,31.83,NA
2007,LTER_2,Backreef,Turbinaria,2198,27.62,3.48,0.69,39.84,NA
2007,LTER_2,Backreef,Turbinaria,2440,28.45,3.58,0.67,42.55,NA
2007,LTER_2,Backreef,Turbinaria,2262,28.57,3.6,0.74,38.77,NA
2007,LTER_2,Backreef,Turbinaria,2180,31.35,3.97,0.79,39.65,NA
2007,LTER_2,Fringing,Turbinaria,2071,25.48,3.31,0.98,26.02,NA
2007,LTER_2,Fringing,Turbinaria,2461,24.05,3.06,0.95,25.45,NA
2007,LTER_2,Fringing,Turbinaria,2432,26.15,3.38,0.83,31.37,NA
2007,LTER_2,Fringing,Turbinaria,2453,27.88,3.66,0.95,29.41,NA
2007,LTER_2,Fringing,Turbinaria,2140,26.33,3.24,0.84,31.54,NA
2007,LTER_2,Fringing,Turbinaria,2428,27.62,3.51,0.88,31.47,NA
2007,LTER_2,Fringing,Turbinaria,2059,26.61,3.35,0.85,31.3,NA
2007,LTER_2,Fringing,Turbinaria,2110,25.56,3.22,0.84,30.4,NA
2007,LTER_2,Fringing,Turbinaria,2201,26.91,3.39,0.78,34.55,NA
2007,LTER_2,Fringing,Turbinaria,2334,24.15,3.05,0.77,31.35,NA
2007,LTER_2,Reefcrest,Sargassum,2294,34.87,5,0.96,36.4,NA
2007,LTER_2,Reefcrest,Sargassum,2293,31.72,4.13,1.2,26.33,NA
2007,LTER_2,Reefcrest,Sargassum,2128,34.43,4.68,1.02,33.92,NA
2007,LTER_2,Reefcrest,Sargassum,2088,34.54,4.73,1.67,20.69,NA
2007,LTER_2,Reefcrest,Sargassum,2071,33.47,4.53,1.02,32.83,NA
2007,LTER_2,Reefcrest,Sargassum,2352,33.66,4.18,1.1,30.57,NA
2007,LTER_2,Reefcrest,Sargassum,2284,33.42,4.55,0.97,34.35,NA
2007,LTER_2,Reefcrest,Sargassum,2265,34.23,4.75,1.1,31.11,NA
2007,LTER_2,Reefcrest,Sargassum,2326,34.45,4.71,1.18,29.15,NA
2007,LTER_2,Reefcrest,Sargassum,2287,34.81,4.76,1.02,34.14,NA
2007,LTER_2,Reefcrest,Turbinaria,2460,30.09,3.86,0.75,40.04,NA
2007,LTER_2,Reefcrest,Turbinaria,2121,29.66,3.88,0.59,50.25,NA
2007,LTER_2,Reefcrest,Turbinaria,2262,29.24,3.79,0.61,47.81,NA
2007,LTER_2,Reefcrest,Turbinaria,2071,30.34,3.91,0.7,43.18,NA
2007,LTER_2,Reefcrest,Turbinaria,2335,28.52,3.74,0.64,44.32,NA
2007,LTER_2,Reefcrest,Turbinaria,2323,30.55,4.08,0.45,67.63,NA
2007,LTER_2,Reefcrest,Turbinaria,2023,30.83,4,0.63,48.88,NA
2007,LTER_2,Reefcrest,Turbinaria,2308,28.21,3.59,0.62,45.87,NA
2007,LTER_2,Reefcrest,Turbinaria,2037,29.43,3.72,0.64,45.7,NA
2007,LTER_2,Reefcrest,Turbinaria,2274,24.81,3.13,0.55,45.48,NA
2007,LTER_3,Backreef,Turbinaria,2272,31.11,3.94,0.79,39.27,NA
2007,LTER_3,Backreef,Turbinaria,2169,31.89,4.03,0.69,46.41,NA
2007,LTER_3,Backreef,Turbinaria,2368,29.39,3.72,0.69,42.61,NA
2007,LTER_3,Backreef,Turbinaria,2063,30.49,3.9,0.57,53.29,NA
2007,LTER_3,Backreef,Turbinaria,2200,29.52,3.7,0.76,38.91,NA
2007,LTER_3,Backreef,Turbinaria,2118,30.19,3.94,0.55,54.74,NA
2007,LTER_3,Backreef,Turbinaria,2146,31.52,4.12,0.48,65.22,NA
2007,LTER_3,Backreef,Turbinaria,2258,30.39,3.89,0.74,40.82,NA
2007,LTER_3,Backreef,Turbinaria,2181,28.2,3.56,0.47,59.99,NA
2007,LTER_3,Backreef,Turbinaria,2148,29.38,3.57,0.68,43.18,NA
2007,LTER_3,Fringing,Turbinaria,2133,30.09,3.88,0.84,35.77,NA
2007,LTER_3,Fringing,Turbinaria,2196,28.19,3.5,1.02,27.6,NA
2007,LTER_3,Fringing,Turbinaria,2085,27.66,3.44,0.8,34.64,NA
2007,LTER_3,Fringing,Turbinaria,2160,27.57,3.43,0.95,29.16,NA
2007,LTER_3,Fringing,Turbinaria,2064,26.91,3.28,0.84,31.91,NA
2007,LTER_3,Fringing,Turbinaria,2020,28.04,3.54,0.84,33.23,NA
2007,LTER_3,Fringing,Turbinaria,2346,28.47,3.62,0.72,39.74,NA
2007,LTER_3,Fringing,Turbinaria,2134,27.08,3.38,0.74,36.72,NA
2007,LTER_3,Fringing,Turbinaria,2216,28.78,3.59,0.95,30.4,NA
2007,LTER_3,Fringing,Turbinaria,2172,28.49,3.63,0.69,41.2,NA
2007,LTER_3,Reefcrest,Sargassum,2233,30.45,3.91,1.06,28.71,NA
2007,LTER_3,Reefcrest,Sargassum,2216,33.67,4.48,0.98,34.55,NA
2007,LTER_3,Reefcrest,Sargassum,2325,34.09,4.74,1.03,32.95,NA
2007,LTER_3,Reefcrest,Sargassum,2328,35.52,5.03,0.84,42.39,NA
2007,LTER_3,Reefcrest,Sargassum,2319,34.73,4.73,0.84,41.54,NA
2007,LTER_3,Reefcrest,Sargassum,2175,35.3,4.81,0.87,40.37,NA
2007,LTER_3,Reefcrest,Sargassum,2225,32.32,4.25,1.08,30.05,NA
2007,LTER_3,Reefcrest,Sargassum,2116,35.18,4.68,1.28,27.58,NA
2007,LTER_3,Reefcrest,Sargassum,2213,37.19,5.14,0.9,41.15,NA
2007,LTER_3,Reefcrest,Sargassum,2297,34.55,4.69,0.84,41.11,NA
2007,LTER_3,Reefcrest,Turbinaria,2298,29.06,3.81,0.69,41.91,NA
2007,LTER_3,Reefcrest,Turbinaria,2018,29.19,3.79,0.59,49.4,NA
2007,LTER_3,Reefcrest,Turbinaria,2389,29.56,3.81,0.78,37.86,NA
2007,LTER_3,Reefcrest,Turbinaria,2357,31.19,4.17,0.61,51.47,NA
2007,LTER_3,Reefcrest,Turbinaria,2370,29.61,4.01,0.62,47.93,NA
2007,LTER_3,Reefcrest,Turbinaria,2408,32.61,4.36,0.59,55.44,NA
2007,LTER_3,Reefcrest,Turbinaria,2065,31.23,4.09,0.67,46.69,NA
2007,LTER_3,Reefcrest,Turbinaria,2141,32.05,4.08,0.73,44.03,NA
2007,LTER_3,Reefcrest,Turbinaria,2343,31.37,4.05,0.69,45.44,NA
2007,LTER_3,Reefcrest,Turbinaria,2105,30.88,3.99,0.74,42.04,NA
2007,LTER_4,Backreef,Turbinaria,2221,29.26,3.87,0.75,39.2,NA
2007,LTER_4,Backreef,Turbinaria,2119,31.16,4.04,0.78,39.83,NA
2007,LTER_4,Backreef,Turbinaria,2132,27.31,3.36,0.83,32.74,NA
2007,LTER_4,Backreef,Turbinaria,2304,28.29,3.67,0.71,39.9,NA
2007,LTER_4,Backreef,Turbinaria,1932,27.81,3.53,0.54,52,NA
2007,LTER_4,Backreef,Turbinaria,1846,29.94,3.82,0.72,41.82,NA
2007,LTER_4,Backreef,Turbinaria,1983,29.26,3.74,0.75,38.95,NA
2007,LTER_4,Backreef,Turbinaria,1926,29.13,3.66,0.61,48.16,NA
2007,LTER_4,Backreef,Turbinaria,1741,27.65,3.51,0.73,37.81,NA
2007,LTER_4,Backreef,Turbinaria,1954,29.55,3.65,0.8,36.77,NA
2007,LTER_4,Fringing,Turbinaria,2020,31.11,3.97,1.07,28.99,NA
2007,LTER_4,Fringing,Turbinaria,2187,30.46,3.85,0.85,35.88,NA
2007,LTER_4,Fringing,Turbinaria,1972,31.23,4.11,0.91,34.5,NA
2007,LTER_4,Fringing,Turbinaria,2022,30.52,3.9,0.74,41.21,NA
2007,LTER_4,Fringing,Turbinaria,2054,30.92,4.12,0.99,31.1,NA
2007,LTER_4,Fringing,Turbinaria,2275,30.98,4.19,0.89,34.93,NA
2007,LTER_4,Fringing,Turbinaria,1953,31.72,4.38,0.75,42.27,NA
2007,LTER_4,Fringing,Turbinaria,2298,30.61,4.23,0.85,36.15,NA
2007,LTER_4,Fringing,Turbinaria,1828,32.25,4.28,1.04,31.06,NA
2007,LTER_4,Fringing,Turbinaria,2210,29.95,4.13,0.97,30.95,NA
2007,LTER_4,Reefcrest,Sargassum,2301,31.99,4.28,1.15,27.79,NA
2007,LTER_4,Reefcrest,Sargassum,2308,31.11,4.14,0.98,31.7,NA
