Sample ID,Well (GSC use only),Template type,A. Template size (bases),B. Template stock conc. (ng/ul),C. PCR template: ng needed = ((A/100)*1.25)*2,D. PCR template: Volume=(C/B)ul,E. Plasmid template: volume= (200ng/B)*2,F. Volume PCR H20 needed (10-D or E),G. Volume primer needed 1ul per rxn,,,,,,,,,
HP-175,HP_240619B,PCR,923,,,2,,8,2,,POC-596,A4,Plate011,Haplotype 1a,,,,
HP-176,HP_240619B,PCR,923,,,2,,8,2,,POC-685,B4,Plate011,Haplotype 1a,,,,
HP-177,HP_240619B,PCR,923,,,2,,8,2,,POC-672,C4,Plate011,Haplotype 3,,,,
HP-178,HP_240619B,PCR,923,,,2,,8,2,,POC-686,D4,Plate011,Haplotype 11,,,,
HP-179,HP_240619B,PCR,923,,,2,,8,2,,POC-3542,E4,Plate011,Haplotype 10,,,,
HP-180,HP_240619B,PCR,923,,,2,,8,2,,POC-3614,F4,Plate011,,,,,
HP-181,HP_240619B,PCR,923,,,2,,8,2,,POC-3731,G4,Plate011,,,,,
HP-182,HP_240619B,PCR,923,,,2,,8,2,,POC-3637,H4,Plate011,,,,,
HP-183,HP_240619B,PCR,923,,,2,,8,2,,POC-600,A5,Plate011,,,,,
HP-184,HP_240619B,PCR,923,,,2,,8,2,,POC-658,B5,Plate011,Haplotype 11,,,,
HP-185,HP_240619B,PCR,923,,,2,,8,2,,POC-687,C5,Plate011,,,,,
HP-186,HP_240619B,PCR,923,,,2,,8,2,,POC-680,D5,Plate011,Haplotype 1a,,,,
HP-187,HP_240619B,PCR,923,,,2,,8,2,,POC-3594,E5,Plate011,Haplotype 8a,,,,
HP-188,HP_240619B,PCR,923,,,2,,8,2,,POC-3596,F5,Plate011,,,,,
HP-189,HP_240619B,PCR,923,,,2,,8,2,,POC-3730,G5,Plate011,,,,,
HP-190,HP_240619B,PCR,923,,,2,,8,2,,POC-3647,H5,Plate011,Haplotype 11,,,,
HP-191,HP_240619B,PCR,923,,,2,,8,2,,POC-552,A6,Plate011,Haplotype 10,,,,
HP-192,HP_240619B,PCR,923,,,2,,8,2,,POC-728,B6,Plate011,Haplotype 11,,,,
HP-193,HP_240619B,PCR,923,,,2,,8,2,,POC-724,C6,Plate011,Haplotype 3,,,,
HP-194,HP_240619B,PCR,923,,,2,,8,2,,POC-725,D6,Plate011,Haplotype 1a,,,,
HP-195,HP_240619B,PCR,923,,,2,,8,2,,POC-3593,E6,Plate011,Haplotype 3,,,,
HP-196,HP_240619B,PCR,923,,,2,,8,2,,POC-3556,F6,Plate011,Haplotype 3,,,,
HP-197,HP_240619B,PCR,923,,,2,,8,2,,POC-3559,G6,Plate011,Haplotype 1a,,,,
HP-198,HP_240619B,PCR,923,,,2,,8,2,,POC-3723,H6,Plate011,Haplotype 1a,,,,
HP-199,HP_240619B,PCR,923,,,2,,8,2,,POC-541,A7,Plate011,Haplotype 3,,,,
HP-200,HP_240619B,PCR,923,,,2,,8,2,,POC-661,B7,Plate011,,,,,
HP-201,HP_240619B,PCR,923,,,2,,8,2,,POC-682,C7,Plate011,,,,,
HP-202,HP_240619B,PCR,923,,,2,,8,2,,POC-723,D7,Plate011,Haplotype 1a,,,,
HP-203,HP_240619B,PCR,923,,,2,,8,2,,POC-3555,E7,Plate011,,,,,
HP-204,HP_240619B,PCR,923,,,2,,8,2,,POC-3549,F7,Plate011,Haplotype 1a,,,,
HP-205,HP_240619B,PCR,923,,,2,,8,2,,POC-3353,G7,Plate011,Haplotype 10,,,,
HP-206,HP_240619B,PCR,923,,,2,,8,2,,POC-3615,H7,Plate011,Haplotype 1a,,,,
HP-207,HP_240619B,PCR,923,,,2,,8,2,,POC-562,A8,Plate011,,,,,
HP-208,HP_240619B,PCR,923,,,2,,8,2,,POC-677,B8,Plate011,Haplotype 5a,,,,
HP-209,HP_240619B,PCR,923,,,2,,8,2,,POC-679,C8,Plate011,Haplotype 5a,,,,
HP-210,HP_240619B,PCR,923,,,2,,8,2,,POC-667,D8,Plate011,Haplotype 1a,,,,
HP-211,HP_240619B,PCR,923,,,2,,8,2,,POC-3722,E8,Plate011,,,,,
HP-212,HP_240619B,PCR,923,,,2,,8,2,,POC-3726,F8,Plate011,Haplotype 1a,,,,
HP-213,HP_240619B,PCR,923,,,2,,8,2,,POC-3717,G8,Plate011,,,,,
HP-214,HP_240619B,PCR,923,,,2,,8,2,,POC-3535,H8,Plate011,Haplotype 1a,,,,
HP-215,HP_240619B,PCR,923,,,2,,8,2,,POC-609,A9,Plate011,Haplotype 1a,,,,
HP-216,HP_240619B,PCR,923,,,2,,8,2,,POC-738,B9,Plate011,Haplotype 11,,,,
HP-217,HP_240619B,PCR,923,,,2,,8,2,,POC-721,C9,Plate011,Haplotype 1a,,,,
HP-218,HP_240619B,PCR,923,,,2,,8,2,,POC-3554,D9,Plate011,,,,,
HP-219,HP_240619B,PCR,923,,,2,,8,2,,POC-3710,E9,Plate011,Haplotype 1a,,,,
HP-220,HP_240619B,PCR,923,,,2,,8,2,,POC-3686,F9,Plate011,Haplotype 1a,,,,
HP-221,HP_240619B,PCR,923,,,2,,8,2,,POC-3592,G9,Plate011,Haplotype 1a,,,,
HP-222,HP_240619B,PCR,923,,,2,,8,2,,POC-3629,H9,Plate011,Haplotype 1a,,,,
HP-223,HP_240619B,PCR,923,,,2,,8,2,,POC-535,A10,Plate011,Haplotype 1a,,,,
HP-224,HP_240619B,PCR,923,,,2,,8,2,,POC-678,B10,Plate011,,,,,
HP-225,HP_240619B,PCR,923,,,2,,8,2,,POC-703,C10,Plate011,Haplotype 1a,,,,
HP-226,HP_240619B,PCR,923,,,2,,8,2,,POC-3605,D10,Plate011,,,,,
HP-227,HP_240619B,PCR,923,,,2,,8,2,,POC-3543,E10,Plate011,,,,,
HP-228,HP_240619B,PCR,923,,,2,,8,2,,POC-3552,F10,Plate011,Haplotype 1a,,,,
HP-229,HP_240619B,PCR,923,,,2,,8,2,,POC-3627,G10,Plate011,Haplotype 1a,,,,
HP-230,HP_240619B,PCR,923,,,2,,8,2,,POC-3602,H10,Plate011,Haplotype 1a,,,,
HP-231,HP_240619B,PCR,923,,,2,,8,2,,POC-702,A11,Plate011,Haplotype 8a,,,,
HP-232,HP_240619B,PCR,923,,,2,,8,2,,POC-681,B11,Plate011,,,,,
HP-233,HP_240619B,PCR,923,,,2,,8,2,,POC-666,C11,Plate011,Haplotype 1a,,,,
HP-234,HP_240619B,PCR,923,,,2,,8,2,,POC-3613,D11,Plate011,Haplotype 1a,,,,
HP-235,HP_240619B,PCR,923,,,2,,8,2,,POC-3648,E11,Plate011,,,,,
HP-236,HP_240619B,PCR,923,,,2,,8,2,,POC-3539,F11,Plate011,,,,,
HP-237,HP_240619B,PCR,923,,,2,,8,2,,POC-3639,G11,Plate011,,,,,
HP-238,HP_240619B,PCR,923,,,2,,8,2,,POC-3610,H11,Plate011,Haplotype 1a,,,,
HP-239,HP_240619B,PCR,923,,,2,,8,2,,POC-727,A12,Plate011,Haplotype 10,,,,
HP-240,HP_240619B,PCR,923,,,2,,8,2,,POC-684,B12,Plate011,Haplotype 1a,,,,
HP-241,HP_240619B,PCR,923,,,2,,8,2,,POC-688,C12,Plate011,Haplotype 10,,,,
HP-242,HP_240619B,PCR,923,,,2,,8,2,,POC-3645,D12,Plate011,,,,,
HP-243,HP_240619B,PCR,923,,,2,,8,2,,POC-3712,E12,Plate011,,,,,
HP-244,HP_240619B,PCR,923,,,2,,8,2,,POC-3708,F12,Plate011,Haplotype 11,,,,
HP-245,HP_240619B,PCR,923,,,2,,8,2,,POC-3536,G12,Plate011,Haplotype 1a,,,,
